Sample	YEAR	MONTH	Location	Sex
848	2	6	1	1
849	2	7	3	1
850	2	4	1	1
851	2	9	1	1
852	2	10	1	1
853	2	5	1	1
854	2	5	3	1
855	2	7	3	1
856	2	10	1	1
857	2	7	3	2
858	2	9	1	1
859	2	9	3	1
860	2	7	3	1
861	2	6	1	1
862	2	8	1	1
863	2	4	1	1
864	2	7	3	1
865	2	4	4	1
866	2	4	4	2
867	2	4	4	1
868	2	10	1	2
869	2	6	3	1
870	2	5	1	1
871	2	6	3	1
872	2	5	1	1
873	2	7	3	1
874	2	4	1	1
875	2	10	1	1
876	2	5	1	1
877	2	6	1	2
878	2	5	1	1
879	2	10	1	1
880	2	7	3	1
881	2	5	1	2
882	2	5	1	1
883	2	4	4	1
884	2	4	4	1
885	2	11	1	2
886	2	6	3	1
887	2	5	1	1
888	2	6	3	1
889	2	6	1	2
890	2	4	3	1
891	2	6	3	1
892	2	12	1	1
893	2	10	1	1
894	2	6	3	1
895	2	4	4	1
896	2	4	4	2
897	2	5	3	1
898	2	7	3	1
899	2	4	2	1
900	2	5	1	1
901	2	11	1	1
902	2	7	3	1
903	2	10	1	1
904	2	1	1	1
905	2	4	4	2
906	2	6	1	1
907	2	11	1	1
908	2	7	3	1
909	2	6	3	2
910	2	5	1	1
911	2	6	1	1
912	2	7	3	1
913	2	7	3	1
914	2	9	1	1
915	2	8	1	1
916	2	4	1	1
917	2	11	1	1
918	2	7	3	1
919	2	6	3	1
920	2	8	1	1
921	2	8	1	1
922	2	6	1	1
923	2	4	1	1
924	2	5	1	1
925	2	7	3	1
926	2	5	1	1
927	2	10	1	1
928	2	9	1	1
929	2	5	3	1
930	2	5	1	1
931	2	12	1	1
932	2	10	1	1
933	2	7	3	1
934	2	6	3	1
935	2	8	1	1
936	2	3	3	1
937	2	4	3	1
938	2	7	3	1
939	2	5	3	1
940	2	5	3	1
941	2	4	4	1
942	2	6	1	2
943	2	7	3	1
944	2	5	3	1
945	2	7	3	1
946	2	10	1	1
947	2	8	3	1
948	2	8	1	1
949	2	4	4	1
950	2	9	1	1
951	2	10	1	1
952	2	5	3	1
953	2	8	1	1
954	2	3	3	1
955	2	8	1	1
956	2	11	1	1
957	2	12	1	1
958	2	4	3	1
959	2	4	3	1
960	2	4	2	1
961	2	7	3	1
962	2	6	1	2
963	2	12	1	1
964	2	5	3	2
965	2	1	3	1
966	2	6	3	1
967	2	6	1	1
968	2	7	3	1
969	2	7	3	1
970	2	9	1	1
971	2	5	1	1
972	2	12	1	1
973	2	7	3	1
974	2	7	3	1
975	2	2	1	1
976	2	6	1	2
977	2	9	1	1
978	2	9	1	1
979	2	10	1	1
980	2	6	1	1
981	2	11	1	1
982	2	7	3	1
983	2	8	1	1
984	2	5	3	1
985	2	9	1	1
986	2	10	1	1
987	2	3	2	1
988	2	12	3	1
989	2	4	1	1
990	2	5	1	1
991	2	8	1	1
992	2	8	1	1
993	2	4	1	1
994	2	4	2	1
995	2	5	1	1
996	2	5	1	1
997	2	4	2	1
998	2	4	3	1
999	2	10	1	1
1000	2	7	3	1
1001	2	6	3	1
1002	2	4	2	1
1003	2	4	3	1
1004	2	10	1	1
1005	2	9	1	1
1006	2	6	3	1
1007	2	6	3	2
1008	2	6	3	1
1009	2	4	3	1
1010	2	8	1	1
1011	2	4	3	1
1012	2	4	3	1
1013	2	4	3	1
1014	2	8	1	1
1015	2	10	1	1
1016	2	3	2	1
1017	2	7	3	1
1018	2	3	3	1
1019	2	5	3	1
1020	2	8	1	1
1021	2	4	3	1
1022	2	4	4	1
1023	2	10	1	1
1024	2	4	3	1
1025	2	8	1	1
1026	2	10	1	1
1027	2	4	2	1
1028	2	11	1	1
1029	2	7	3	1
1030	2	6	1	1
1031	2	4	1	1
1032	2	1	1	1
1033	2	5	1	1
1034	2	7	3	1
1035	2	5	1	2
1036	2	6	1	1
1037	2	11	1	1
1038	2	4	4	1
1039	2	5	1	1
1040	2	9	1	1
1041	2	5	1	1
1042	2	9	1	1
1043	2	4	3	1
1044	2	8	1	1
1045	2	6	3	1
1046	2	6	1	2
1047	2	4	3	1
1048	2	5	1	1
1049	2	8	1	2
1050	2	4	4	1
1051	2	7	3	1
1052	2	6	1	1
1053	2	6	3	1
1054	2	4	1	1
1055	2	4	2	1
1056	2	9	1	1
1057	2	4	1	1
1058	2	9	1	1
1059	2	3	3	1
1060	2	1	3	1
1061	2	4	2	1
1062	2	6	3	1
1063	2	6	1	2
1064	2	8	3	1
1065	2	4	1	1
1066	2	10	1	1
1067	2	6	3	1
1068	2	4	3	1
1069	2	6	3	1
1070	2	3	3	1
1071	2	9	1	1
1072	2	11	1	1
1073	2	4	1	1
1074	2	9	1	1
1075	2	9	1	1
1076	2	10	1	1
1077	2	10	1	1
1078	2	4	2	1
1079	2	4	4	1
1080	2	4	2	1
1081	2	4	2	1
1082	2	11	1	1
1083	2	4	4	2
1084	2	9	3	1
1085	2	9	1	1
1086	2	9	1	1
1087	2	2	1	1
1088	2	9	1	1
1089	2	4	4	1
1090	2	4	4	1
1091	2	10	1	1
1092	2	4	1	1
1093	2	2	1	1
1094	2	2	3	1
1095	2	4	4	1
1096	2	6	1	1
1097	2	3	2	1
1098	2	9	1	1
1099	2	6	3	1
1100	2	6	3	1
1101	2	4	2	1
1102	2	6	3	1
1103	2	10	1	1
1104	2	11	1	1
1105	2	4	4	1
1106	2	11	1	1
1107	2	7	3	1
1108	2	4	2	1
1109	2	3	3	1
1110	2	7	3	1
1111	2	11	1	1
1112	2	4	3	1
1113	2	11	1	1
1114	2	12	3	1
1115	2	6	1	2
1116	2	3	2	1
1117	2	3	2	1
1118	2	7	3	1
1119	2	4	4	1
1120	2	9	1	1
1121	2	4	2	1
1122	2	10	1	1
1123	2	6	1	1
1124	2	11	1	1
1125	2	5	3	1
1126	2	2	1	1
1127	2	4	4	1
1128	2	4	1	1
1129	2	3	3	1
1130	2	10	1	1
1131	2	4	3	1
1132	2	4	3	2
1133	2	12	3	1
1134	2	4	4	1
1135	2	3	2	1
1136	2	6	3	1
1137	2	4	1	1
1138	2	6	1	2
1139	2	4	1	1
1140	2	6	3	1
1141	2	11	1	1
1142	2	5	1	1
1143	2	11	1	1
1144	2	9	1	1
1145	2	4	4	1
1146	2	11	1	1
1147	2	5	1	2
1148	2	10	1	1
1149	2	6	1	1
1150	2	12	3	1
1151	2	6	1	2
1152	2	3	3	1
1153	2	5	1	2
1154	2	9	1	1
1155	2	4	2	1
1156	2	4	2	1
1157	2	2	1	1
1158	2	10	1	1
1159	2	4	4	1
1160	2	4	3	1
1161	2	4	2	1
1162	2	5	3	1
1163	2	1	3	1
1164	2	3	2	1
1165	2	4	4	1
1166	2	5	1	2
1167	2	6	1	1
1168	2	3	3	1
1169	2	6	3	2
1170	2	3	2	1
1171	2	3	2	1
1172	2	11	1	1
1173	2	9	1	1
1174	2	3	3	1
1175	2	4	4	1
1176	2	9	1	1
1177	2	11	1	1
1178	2	8	3	1
1179	2	5	1	2
1180	2	3	3	1
1181	2	9	1	1
1182	2	3	2	1
1183	2	6	1	1
1184	2	10	1	2
1185	2	11	1	1
1186	2	11	1	1
1187	2	3	2	1
1188	2	1	3	1
1189	2	3	3	1
1190	2	5	1	2
1191	2	4	3	1
1192	2	5	1	2
1193	2	4	2	1
1194	2	4	2	1
1195	2	6	1	2
1196	2	1	3	1
1197	2	2	1	1
1198	2	5	3	2
1199	2	4	4	2
1200	2	3	2	1
1201	2	4	1	1
1202	2	11	1	1
1203	2	11	1	1
1204	2	4	2	1
1205	2	1	3	1
1206	2	11	1	1
1207	2	2	1	1
1208	2	2	1	1
1209	2	4	1	2
1210	2	4	3	1
1211	2	4	1	1
1212	2	6	1	2
1213	2	3	2	1
1214	2	3	3	1
1215	2	4	1	1
1216	2	1	3	1
1217	2	2	1	2
1218	2	2	1	1
1219	2	11	1	1
1220	2	5	3	2
1221	2	12	1	1
1222	2	4	1	1
1223	2	1	3	1
1224	2	4	3	1
1225	2	4	2	1
1226	2	4	2	1
1227	2	4	2	1
1228	2	6	3	2
1229	2	2	1	2
1230	2	6	1	2
1231	2	4	3	2
1232	2	5	1	2
1233	2	4	3	2
1234	2	3	2	1
1235	2	4	2	2
1236	2	3	2	2
1237	2	4	1	2
1238	2	2	1	1
1239	2	4	2	2
1240	2	12	1	1
1241	2	4	1	1
1242	2	4	2	2
1243	2	4	3	2
1244	2	4	3	2
1245	2	6	1	2
1246	2	4	3	2
1247	2	3	3	1
1248	2	4	2	1
1249	2	4	2	2
1250	2	4	1	1
1251	2	3	2	2
1252	2	4	1	2
1253	2	7	3	2
1254	2	4	2	2
1255	2	4	1	2
1256	2	3	2	2
1257	2	6	1	2
1258	2	4	3	2
1259	2	4	3	2
1260	2	2	1	1
1261	2	3	2	2
1262	2	11	1	1
1263	2	4	2	2
1264	2	4	1	2
1265	2	3	2	2
1266	2	4	3	2
1267	2	3	2	2
1268	2	3	2	1
1269	2	4	3	2
1270	2	1	1	1
1271	2	2	1	1
1272	2	3	2	2
1273	2	3	2	2
1274	2	2	1	1
1275	2	3	2	2
1276	2	4	3	2
1277	2	4	1	2
1278	2	2	1	1
1279	2	1	1	2
1280	2	4	1	2
1281	2	4	3	1
1282	2	10	1	2
1283	2	4	3	2
1284	2	4	3	1
1285	2	4	2	2
1286	2	1	1	1
1287	2	1	1	2
1288	2	3	2	2
1289	2	4	2	2
1290	2	4	1	2
1291	2	3	2	2
1292	2	2	1	1
1293	2	2	1	1
1294	2	4	1	2
1295	2	1	1	1
1296	2	3	2	1
1297	2	1	1	1
1298	2	4	1	1
1299	2	4	2	2
1300	2	4	3	1
1301	2	4	2	1
1302	2	1	1	1
1303	2	4	1	2
1304	2	4	1	2
1305	2	4	1	2
1306	2	2	1	2
1307	2	3	2	1
1308	2	3	2	1
1309	2	4	2	2
1310	2	4	1	2
1311	2	10	1	1
1312	2	4	3	2
1313	2	4	3	1
1314	2	4	1	2
1315	2	4	1	2
1316	2	4	3	2
1317	2	3	2	1
1318	2	4	1	2
1319	2	12	1	1
1320	2	4	2	2
1321	2	4	2	1
1322	2	4	3	2
1323	2	12	1	1
1324	2	2	1	2
1325	2	3	2	1
1326	2	1	1	2
1327	2	2	1	2
1328	2	4	1	2
1329	2	2	1	2
1330	2	2	1	1
1331	2	2	1	2
1332	2	4	2	2
1333	2	4	2	2
1334	2	2	1	1
1335	2	1	1	1
1336	2	4	2	2
1337	2	4	2	1
1338	2	4	1	2
1339	2	12	1	1
1340	2	3	2	2
1341	2	4	2	2
1342	2	1	1	1
1343	2	3	2	1
1344	2	2	1	2
1345	2	4	3	2
1346	2	4	2	2
1347	2	4	3	2
1348	2	3	2	1
1349	2	1	3	1
1350	2	3	2	1
1351	2	4	3	2
1352	2	4	2	2
1353	2	4	2	1
1354	2	1	1	1
1355	2	2	1	2
1356	2	1	1	1
1357	2	12	1	1
1358	2	4	3	2
1359	2	4	3	2
1360	2	3	2	1
