Sample	GSI
880	2.251
881	2.2506
882	2.2494
883	2.2451
884	2.2393
885	2.2375
886	2.2339
887	2.2302
888	2.2302
889	2.2294
890	2.2184
891	2.2135
892	2.2048
893	2.1835
894	2.1727
895	2.1721
896	2.1643
897	2.1564
898	2.1554
899	2.1478
900	2.1454
901	2.1439
902	2.1304
903	2.1282
904	2.1271
905	2.1256
906	2.1238
907	2.1196
908	2.1129
909	2.1115
910	2.1114
911	2.1047
912	2.1038
913	2.0966
914	2.0756
915	2.0749
916	2.0739
917	2.0737
918	2.0617
919	2.0602
920	2.0575
921	2.0431
922	2.0397
923	2.0371
924	2.0327
925	2.0273
926	2.0221
927	2.0191
928	2.0055
929	1.9916
930	1.9895
931	1.9881
932	1.9869
933	1.9832
934	1.9804
935	1.9753
936	1.9749
937	1.9736
938	1.9686
939	1.9477
940	1.9355
941	1.9303
942	1.9168
943	1.9115
944	1.9009
945	1.8922
946	1.8892
947	1.8816
948	1.8812
949	1.8762
950	1.8723
951	1.8715
952	1.8639
953	1.8637
954	1.858
955	1.8573
956	1.8508
957	1.8493
958	1.8493
959	1.849
960	1.8437
961	1.8413
962	1.841
963	1.8365
964	1.8358
965	1.8265
966	1.8201
967	1.8173
968	1.8169
969	1.8149
970	1.8121
971	1.8105
972	1.8052
973	1.8042
974	1.7939
975	1.7916
976	1.783
977	1.7814
978	1.7798
979	1.7679
980	1.7654
981	1.7638
982	1.7584
983	1.7573
984	1.7569
985	1.7565
986	1.7509
987	1.7441
988	1.7403
989	1.7374
990	1.7279
991	1.725
992	1.7231
993	1.7095
994	1.7088
995	1.6981
996	1.6972
997	1.6887
998	1.6842
999	1.6798
1000	1.6773
1001	1.6757
1002	1.6756
1003	1.6677
1004	1.6665
1005	1.6569
1006	1.647
1007	1.6434
1008	1.6369
1009	1.6362
1010	1.6339
1011	1.6271
1012	1.6181
1013	1.6029
1014	1.6019
1015	1.598
1016	1.5924
1017	1.5875
1018	1.5849
1019	1.5675
1020	1.5648
1021	1.5648
1022	1.5572
1023	1.5565
1024	1.556
1025	1.5558
1026	1.5537
1027	1.5511
1028	1.5495
1029	1.5489
1030	1.5076
1031	1.5064
1032	1.496
1033	1.4882
1034	1.4822
1035	1.4806
1036	1.4774
1037	1.4619
1038	1.4616
1039	1.4599
1040	1.4595
1041	1.4593
1042	1.4565
1043	1.4526
1044	1.4433
1045	1.4415
1046	1.4373
1047	1.436
1048	1.4353
1049	1.4274
1050	1.4265
1051	1.425
1052	1.4226
1053	1.4199
1054	1.4111
1055	1.4027
1056	1.378
1057	1.3639
1058	1.356
1059	1.354
1060	1.3431
1061	1.3344
1062	1.3344
1063	1.3301
1064	1.3296
1065	1.3225
1066	1.317
1067	1.3024
1068	1.2938
1069	1.2921
1070	1.2878
1071	1.2746
1072	1.274
1073	1.2738
1074	1.2643
1075	1.2627
1076	1.2578
1077	1.2577
1078	1.2571
1079	1.2553
1080	1.2548
1081	1.245
1082	1.2433
1083	1.2388
1084	1.2372
1085	1.2295
1086	1.2277
1087	1.2256
1088	1.2184
1089	1.216
1090	1.2039
1091	1.2014
1092	1.1938
1093	1.1826
1094	1.1799
1095	1.1797
1096	1.1776
1097	1.1711
1098	1.1705
1099	1.1677
1100	1.1673
1101	1.1665
1102	1.1631
1103	1.1624
1104	1.155
1105	1.1547
1106	1.1529
1107	1.1433
1108	1.1393
1109	1.1351
1110	1.1335
1111	1.1237
1112	1.1199
1113	1.1186
1114	1.1177
1115	1.1131
1116	1.1111
1117	1.1053
1118	1.1043
1119	1.103
1120	1.0943
1121	1.0943
1122	1.0929
1123	1.0818
1124	1.0801
1125	1.0789
1126	1.0759
1127	1.0759
1128	1.0696
1129	1.064
1130	1.0596
1131	1.0578
1132	1.0506
1133	1.0487
1134	1.0471
1135	1.0435
1136	1.0383
1137	1.0367
1138	1.0294
1139	1.0289
1140	1.0276
1141	1.0243
1142	1.0235
1143	1.0145
1144	1.013
1145	1.011
1146	1.0107
1147	1.0088
1148	0.9991
1149	0.9986
1150	0.9977
1151	0.992
1152	0.9918
1153	0.9915
1154	0.9908
1155	0.9846
1156	0.9758
1157	0.962
1158	0.9583
1159	0.9526
1160	0.9499
1161	0.9294
1162	0.9201
1163	0.9166
1164	0.9153
1165	0.8961
1166	0.8961
1167	0.8584
1168	0.841
1169	0.8253
1170	0.8204
1171	0.8064
1172	0.7983
1173	0.7933
1174	0.7722
1175	0.7632
1176	0.7569
1177	0.7479
1178	0.745
1179	0.7442
1180	0.7414
1181	0.7256
1182	0.7246
1183	0.7237
1184	0.706
1185	0.7031
1186	0.7012
1187	0.6856
1188	0.6775
1189	0.6741
1190	0.6481
1191	0.6469
1192	0.6398
1193	0.6319
1194	0.6051
1195	0.5946
1196	0.59
1197	0.5779
1198	0.5617
1199	0.5579
1200	0.5571
1201	0.5507
1202	0.5198
1203	0.4952
1204	0.4789
1205	0.4755
1206	0.4654
1207	0.4619
1208	0.4525
1209	0.4449
1210	0.444
1211	0.4333
1212	0.4325
1213	0.4323
1214	0.4299
1215	0.4282
1216	0.4234
1217	0.4078
1218	0.4056
1219	0.3999
1220	0.3977
1221	0.397
1222	0.3957
1223	0.3948
1224	0.3879
1225	0.3872
1226	0.3858
1227	0.3855
1228	0.3842
1229	0.3797
1230	0.3643
1231	0.3642
1232	0.3641
1233	0.3628
1234	0.3584
1235	0.3551
1236	0.3417
1237	0.3313
1238	0.3307
1239	0.3081
1240	0.3079
1241	0.3067
1242	0.3028
1243	0.296
1244	0.2952
1245	0.2948
1246	0.2937
1247	0.2883
1248	0.2853
1249	0.2812
1250	0.2807
1251	0.2788
1252	0.2775
1253	0.2771
1254	0.2691
1255	0.2678
1256	0.2566
1257	0.2561
1258	0.2557
1259	0.2491
1260	0.2484
1261	0.247
1262	0.2464
1263	0.2445
1264	0.2418
1265	0.2389
1266	0.237
1267	0.2333
1268	0.2327
1269	0.2319
1270	0.2306
1271	0.2304
1272	0.228
1273	0.2267
1274	0.2231
1275	0.2229
1276	0.222
1277	0.2209
1278	0.2163
1279	0.2156
1280	0.2154
1281	0.2153
1282	0.2151
1283	0.2139
1284	0.2124
1285	0.2121
1286	0.2089
1287	0.2088
1288	0.2059
1289	0.2041
1290	0.2033
1291	0.2018
1292	0.2002
1293	0.2
1294	0.1984
1295	0.1975
1296	0.1968
1297	0.1967
1298	0.1955
1299	0.1934
1300	0.1915
1301	0.1912
1302	0.1906
1303	0.1898
1304	0.1873
1305	0.187
1306	0.1869
1307	0.1865
1308	0.1853
1309	0.1848
1310	0.1841
1311	0.1813
1312	0.1811
1313	0.1809
1314	0.1805
1315	0.1796
1316	0.1782
1317	0.1775
1318	0.1755
1319	0.175
1320	0.1735
1321	0.1723
1322	0.172
1323	0.1717
1324	0.1708
1325	0.1695
1326	0.1682
1327	0.1679
1328	0.1658
1329	0.1639
1330	0.1633
1331	0.163
1332	0.1628
1333	0.1608
1334	0.1607
1335	0.1602
1336	0.1593
1337	0.1564
1338	0.1563
1339	0.1562
1340	0.1561
1341	0.155
1342	0.1522
1343	0.1511
1344	0.1495
1345	0.1495
1346	0.1489
1347	0.1489
1348	0.1481
1349	0.1439
1350	0.1406
1351	0.14
1352	0.1396
1353	0.1393
1354	0.1392
1355	0.1383
1356	0.1374
1357	0.1367
1358	0.1367
1359	0.1365
1360	0.1359
1361	0.1356
1362	0.1351
1363	0.1349
1364	0.1341
1365	0.129
1366	0.1282
1367	0.1274
1368	0.1258
1369	0.1255
1370	0.1251
1371	0.1244
1372	0.124
1373	0.123
1374	0.12
1375	0.12
1376	0.1197
1377	0.119
1378	0.1179
1379	0.1178
1380	0.1176
1381	0.1145
1382	0.114
1383	0.1138
1384	0.1137
1385	0.1135
1386	0.1121
1387	0.1107
1388	0.1106
1389	0.1097
1390	0.108
1391	0.1076
1392	0.1075
1393	0.1073
1394	0.1061
1395	0.1056
1396	0.1049
1397	0.1038
1398	0.1036
1399	0.1034
1400	0.1032
1401	0.1028
1402	0.1025
1403	0.1024
1404	0.1015
1405	0.1015
1406	0.1011
1407	0.1009
1408	0.1009
1409	0.1006
1410	0.1
1411	0.0998
1412	0.0996
1413	0.0987
1414	0.097
1415	0.0969
1416	0.0966
1417	0.0962
1418	0.0952
1419	0.095
1420	0.0948
1421	0.0945
1422	0.0943
1423	0.0938
1424	0.0934
1425	0.0932
1426	0.0927
1427	0.0914
1428	0.0897
1429	0.0893
1430	0.089
1431	0.089
1432	0.0884
1433	0.0881
1434	0.088
1435	0.0879
1436	0.0874
1437	0.0859
1438	0.0855
1439	0.0833
1440	0.0812
1441	0.081
1442	0.0807
1443	0.0807
1444	0.0806
1445	0.0804
1446	0.0802
1447	0.0794
1448	0.0789
1449	0.0777
1450	0.0759
1451	0.073
1452	0.0711
1453	0.0707
1454	0.0704
1455	0.0693
1456	0.0688
1457	0.068
1458	0.0665
1459	0.0649
1460	0.0647
1461	0.0639
1462	0.0613
1463	0.0608
1464	0.0607
1465	0.0602
1466	0.0597
1467	0.0592
1468	0.0591
1469	0.0585
1470	0.0583
1471	0.0572
1472	0.0571
1473	0.0563
1474	0.0556
1475	0.0546
1476	0.0543
1477	0.054
1478	0.0519
1479	0.0511
1480	0.05
1481	0.0497
1482	0.0462
1483	0.0458
1484	0.0457
1485	0.0456
1486	0.0451
1487	0.0427
1488	0.0423
1489	0.0422
1490	0.0422
1491	0.0409
1492	0.0395
1493	0.0394
1494	0.0381
1495	0.0372
1496	0.0364
1497	0.0356
1498	0.0333
1499	0.0327
1500	0.0321
1501	0.0314
1502	0.0311
1503	0.0309
1504	0.0297
1505	0.0279
1506	0.0275
1507	0.0273
1508	0.0271
1509	0.0233
1510	0.023
1511	0.0224
1512	0.0222
1513	0.0208
1514	0.0198
1515	0.0188
1516	0.0184
1517	0.0157
1518	0.0156
1519	0.0072
1520	11.8655
1521	10.8036
1522	10.5197
1523	10.4744
1524	10.4206
1525	10.4004
1526	9.9147
1527	9.8713
1528	9.7152
1529	9.6634
1530	9.6302
1531	9.5052
1532	9.3829
1533	9.3296
1534	9.1063
1535	9.094
1536	9.0897
1537	8.9651
1538	8.8874
1539	8.8838
1540	8.876
1541	8.6989
1542	8.4791
1543	8.4008
1544	8.3443
1545	8.228
1546	8.2263
1547	8.2116
1548	8.1521
1549	8.1336
1550	8.1332
1551	8.1253
1552	8.1211
1553	8.0786
1554	8.0647
1555	8.05
1556	8
1557	7.9831
1558	7.9423
1559	7.9089
1560	7.8565
1561	7.8438
1562	7.8081
1563	7.8
1564	7.7358
1565	7.6918
1566	7.5493
1567	7.546
1568	7.5455
1569	7.4851
1570	7.4522
1571	7.3434
1572	7.3403
1573	7.2958
1574	7.2773
1575	7.2457
1576	7.2422
1577	7.2237
1578	7.2215
1579	7.1731
1580	7.1203
1581	7.095
1582	7.0947
1583	7.0799
1584	7.0774
1585	7.0615
1586	7.0392
1587	7.0273
1588	6.9819
1589	6.9603
1590	6.9479
1591	6.9463
1592	6.918
1593	6.8828
1594	6.8655
1595	6.8544
1596	6.8158
1597	6.7784
1598	6.7357
1599	6.7341
1600	6.7191
1601	6.6869
1602	6.5709
1603	6.5419
1604	6.539
1605	6.5106
1606	6.4774
1607	6.394
1608	6.392
1609	6.3918
1610	6.3739
1611	6.3689
1612	6.3676
1613	6.3447
1614	6.3442
1615	6.2993
1616	6.2773
1617	6.2704
1618	6.2134
1619	6.1789
1620	6.1468
1621	6.1447
1622	6.1386
1623	6.1132
1624	6.1054
1625	6.1018
1626	6.0511
1627	5.9891
1628	5.9416
1629	5.8789
1630	5.8357
1631	5.7744
1632	5.7587
1633	5.7534
1634	5.7512
1635	5.7448
1636	5.7398
1637	5.6928
1638	5.6359
1639	5.5966
1640	5.5824
1641	5.5703
1642	5.5372
1643	5.5022
1644	5.4522
1645	5.4505
1646	5.4503
1647	5.3984
1648	5.3175
1649	5.313
1650	5.3015
1651	5.2373
1652	5.2154
1653	5.2051
1654	5.1983
1655	5.1816
1656	5.1564
1657	5.1333
1658	5.1332
1659	5.1328
1660	5.1312
1661	5.0926
1662	5.0863
1663	5.0859
1664	5.0765
1665	5.072
1666	4.9456
1667	4.8069
1668	4.685
1669	4.6326
1670	4.5526
1671	4.5461
1672	4.5132
1673	4.4491
1674	4.4402
1675	4.4245
1676	4.3298
1677	4.2245
1678	4.1375
1679	4.0077
1680	3.9544
1681	3.8993
1682	3.8921
1683	3.8539
1684	3.7866
1685	3.6782
1686	3.5841
1687	3.5432
1688	3.5407
1689	3.5377
1690	3.493
1691	3.3677
1692	3.3474
1693	3.3018
1694	3.2127
1695	3.2008
1696	3.1724
1697	3.1514
1698	3.1343
1699	3.1056
1700	3.0962
1701	3.0758
1702	3.0692
1703	3.0577
1704	3.0409
1705	2.9466
1706	2.9211
1707	2.9071
1708	2.9065
1709	2.902
1710	2.8965
1711	2.8672
1712	2.8437
1713	2.8344
1714	2.828
1715	2.8229
1716	2.7935
1717	2.787
1718	2.7839
1719	2.7711
1720	2.7686
1721	2.7548
1722	2.7387
1723	2.7273
1724	2.7251
1725	2.7076
1726	2.7019
1727	2.6984
1728	2.6953
1729	2.6621
1730	2.6569
1731	2.6483
1732	2.6345
1733	2.6009
1734	2.5895
1735	2.5777
1736	2.5763
1737	2.5321
1738	2.4984
1739	2.4976
1740	2.4955
1741	2.4953
1742	2.4917
1743	2.4906
1744	2.478
1745	2.4763
1746	2.4601
1747	2.4528
1748	2.4522
1749	2.4475
1750	2.4073
1751	2.3984
1752	2.3846
1753	2.3827
1754	2.3782
1755	2.3742
1756	2.3645
1757	2.3625
1758	2.3624
1759	2.3578
1760	2.3447
1761	2.3242
1762	2.3231
1763	2.3218
1764	2.311
1765	2.3086
1766	2.3085
1767	2.3047
1768	2.2917
1769	2.2888
1770	2.2794
1771	2.2751
1772	2.2742
1773	2.2736
1774	2.2594
1775	2.2491
1776	2.238
1777	2.2111
1778	2.1912
1779	2.1726
1780	2.169
1781	2.1686
1782	2.1526
1783	2.1248
1784	2.1041
1785	2.0947
1786	2.0845
1787	2.0833
1788	2.08
1789	2.0667
1790	2.0643
1791	2.0612
1792	2.0554
1793	2.0485
1794	2.0401
1795	2.0306
1796	2.0305
1797	2.0082
1798	1.9926
1799	1.9837
1800	1.9816
1801	1.9756
1802	1.9244
1803	1.916
1804	1.9103
1805	1.9085
1806	1.9068
1807	1.9018
1808	1.9007
1809	1.8888
1810	1.8596
1811	1.8502
1812	1.8322
1813	1.8243
1814	1.8182
1815	1.8095
1816	1.8072
1817	1.8044
1818	1.7994
1819	1.7952
1820	1.7925
1821	1.7857
1822	1.7585
1823	1.7311
1824	1.7278
1825	1.7191
1826	1.7188
1827	1.6979
1828	1.6951
1829	1.6734
1830	1.6631
1831	1.6514
1832	1.645
1833	1.6377
1834	1.6106
1835	1.5946
1836	1.5662
1837	1.5612
1838	1.5555
1839	1.545
1840	1.5424
1841	1.5331
1842	1.5242
1843	1.519
1844	1.5174
1845	1.506
1846	1.5055
1847	1.5054
1848	1.4969
1849	1.476
1850	1.4748
1851	1.473
1852	1.4721
1853	1.4637
1854	1.4465
1855	1.4455
1856	1.4385
1857	1.4383
1858	1.4375
1859	1.4367
1860	1.4204
1861	1.4124
1862	1.4107
1863	1.407
1864	1.3994
1865	1.3938
1866	1.3854
1867	1.3794
1868	1.3684
1869	1.3625
1870	1.357
1871	1.3457
1872	1.3228
1873	1.3191
1874	1.3018
1875	1.2726
1876	1.2695
1877	1.2689
1878	1.2687
1879	1.2545
1880	1.2413
1881	1.2359
1882	1.2348
1883	1.2204
1884	1.1933
1885	1.1883
1886	1.1803
1887	1.1557
1888	1.1346
1889	1.1332
1890	1.125
1891	1.1124
1892	1.1097
1893	1.1
1894	1.0995
1895	1.0958
1896	1.091
1897	1.0879
1898	1.0764
