Sample Year Month Location Sex GSI
431 431 1 1 1 1 0.1316
435 435 1 2 1 1 0.1261
436 436 1 2 1 1 0.1261
437 437 1 2 1 1 0.1239
440 440 1 3 1 1 0.1212
444 444 1 3 3 1 0.1186
445 445 1 2 1 1 0.1181
448 448 1 1 1 1 0.1162
449 449 1 2 1 1 0.1121
451 451 1 4 3 1 0.1079
453 453 1 1 1 1 0.1069
456 456 1 1 1 1 0.1061
459 459 1 2 3 1 0.1014
461 461 1 1 1 1 0.0987
462 462 1 1 1 1 0.0969
466 466 1 2 1 1 0.0929
467 467 1 2 3 1 0.0928
471 471 1 2 1 1 0.0907
474 474 1 1 3 1 0.0888
476 476 1 2 3 1 0.0881
477 477 1 2 1 1 0.0877
479 479 1 1 1 1 0.0866
481 481 1 2 1 1 0.0827
482 482 1 2 3 1 0.0817
483 483 1 2 1 1 0.0817
488 488 1 1 1 1 0.079
491 491 1 3 1 1 0.0774
494 494 1 1 1 1 0.0738
499 499 1 1 1 1 0.0711
506 506 1 1 1 1 0.0647
515 515 1 2 1 1 0.0554
518 518 1 2 1 1 0.053
519 519 1 1 3 1 0.0526
527 527 1 1 3 1 0.047
535 535 1 1 1 1 0.0375
537 537 1 1 3 1 0.0334
539 539 1 1 1 1 0.0276
542 542 1 4 3 1 0.0218
543 543 1 2 1 1 0.019
544 544 1 6 1 1 0.0167
545 545 1 5 1 1 0.0131
763 763 2 10 1 1 4.2144
765 765 2 11 1 1 4.1906
771 771 2 11 1 1 3.8598
773 773 2 9 1 1 3.804
778 778 2 8 1 1 3.5826
785 785 2 8 1 1 3.3895
786 786 2 8 1 1 3.3839
787 787 2 8 1 1 3.3324
788 788 2 6 1 1 3.2799
789 789 2 4 1 1 3.2536
790 790 2 6 1 1 3.2492
791 791 2 6 1 1 3.2383
792 792 2 8 1 1 3.2333
793 793 2 11 1 1 3.2161
794 794 2 8 1 1 3.1991
795 795 2 5 1 1 3.1264
796 796 2 11 1 1 3.1242
799 799 2 10 1 1 3.0116
800 800 2 8 1 1 2.9792
802 802 2 6 1 1 2.9531
803 803 2 8 1 1 2.9504
805 805 2 6 1 1 2.8932
807 807 2 6 1 1 2.8892
808 808 2 6 1 1 2.865
809 809 2 7 3 1 2.8257
810 810 2 6 1 1 2.8067
811 811 2 8 1 1 2.7965
813 813 2 5 1 1 2.7649
814 814 2 5 1 1 2.7588
815 815 2 8 1 1 2.7189
816 816 2 11 1 1 2.7134
817 817 2 6 1 1 2.7084
818 818 2 4 1 1 2.7035
819 819 2 5 3 1 2.7023
820 820 2 6 3 1 2.6864
821 821 2 4 3 1 2.6559
822 822 2 6 1 1 2.6494
823 823 2 8 1 1 2.6463
824 824 2 5 1 1 2.6269
825 825 2 10 1 1 2.6265
826 826 2 7 3 1 2.603
827 827 2 9 1 1 2.5842
828 828 2 12 1 1 2.569
829 829 2 8 1 1 2.568
830 830 2 8 1 1 2.555
832 832 2 9 1 1 2.5396
834 834 2 11 1 1 2.502
835 835 2 7 3 1 2.496
836 836 2 5 1 1 2.4848
837 837 2 10 1 1 2.4796
838 838 2 7 3 1 2.4732
839 839 2 6 1 1 2.4703
841 841 2 4 1 1 2.436
843 843 2 12 1 1 2.4254
844 844 2 6 1 1 2.4221
845 845 2 4 3 1 2.4193
846 846 2 4 3 1 2.4151
847 847 2 2 1 1 2.4094
848 848 2 6 1 1 2.409
849 849 2 7 3 1 2.4
850 850 2 4 1 1 2.4
851 851 2 9 1 1 2.3826
852 852 2 10 1 1 2.3697
853 853 2 5 1 1 2.3689
854 854 2 5 3 1 2.3632
855 855 2 7 3 1 2.3571
856 856 2 10 1 1 2.3504
858 858 2 9 1 1 2.3468
859 859 2 9 3 1 2.3456
860 860 2 7 3 1 2.3423
861 861 2 6 1 1 2.3414
862 862 2 8 1 1 2.329
863 863 2 4 1 1 2.3209
864 864 2 7 3 1 2.3194
865 865 2 4 4 1 2.319
867 867 2 4 4 1 2.3154
869 869 2 6 3 1 2.2992
870 870 2 5 1 1 2.29
871 871 2 6 3 1 2.289
872 872 2 5 1 1 2.2888
873 873 2 7 3 1 2.2852
874 874 2 4 1 1 2.2779
875 875 2 10 1 1 2.272
876 876 2 5 1 1 2.2706
878 878 2 5 1 1 2.255
879 879 2 10 1 1 2.252
880 880 2 7 3 1 2.251
882 882 2 5 1 1 2.2494
883 883 2 4 4 1 2.2451
884 884 2 4 4 1 2.2393
886 886 2 6 3 1 2.2339
887 887 2 5 1 1 2.2302
888 888 2 6 3 1 2.2302
890 890 2 4 3 1 2.2184
891 891 2 6 3 1 2.2135
892 892 2 12 1 1 2.2048
893 893 2 10 1 1 2.1835
894 894 2 6 3 1 2.1727
895 895 2 4 4 1 2.1721
897 897 2 5 3 1 2.1564
898 898 2 7 3 1 2.1554
899 899 2 4 2 1 2.1478
900 900 2 5 1 1 2.1454
901 901 2 11 1 1 2.1439
902 902 2 7 3 1 2.1304
903 903 2 10 1 1 2.1282
904 904 2 1 1 1 2.1271
906 906 2 6 1 1 2.1238
907 907 2 11 1 1 2.1196
908 908 2 7 3 1 2.1129
910 910 2 5 1 1 2.1114
911 911 2 6 1 1 2.1047
912 912 2 7 3 1 2.1038
913 913 2 7 3 1 2.0966
914 914 2 9 1 1 2.0756
915 915 2 8 1 1 2.0749
916 916 2 4 1 1 2.0739
917 917 2 11 1 1 2.0737
918 918 2 7 3 1 2.0617
919 919 2 6 3 1 2.0602
920 920 2 8 1 1 2.0575
921 921 2 8 1 1 2.0431
922 922 2 6 1 1 2.0397
923 923 2 4 1 1 2.0371
924 924 2 5 1 1 2.0327
925 925 2 7 3 1 2.0273
926 926 2 5 1 1 2.0221
927 927 2 10 1 1 2.0191
928 928 2 9 1 1 2.0055
929 929 2 5 3 1 1.9916
930 930 2 5 1 1 1.9895
931 931 2 12 1 1 1.9881
932 932 2 10 1 1 1.9869
933 933 2 7 3 1 1.9832
934 934 2 6 3 1 1.9804
935 935 2 8 1 1 1.9753
936 936 2 3 3 1 1.9749
937 937 2 4 3 1 1.9736
938 938 2 7 3 1 1.9686
939 939 2 5 3 1 1.9477
940 940 2 5 3 1 1.9355
941 941 2 4 4 1 1.9303
943 943 2 7 3 1 1.9115
944 944 2 5 3 1 1.9009
945 945 2 7 3 1 1.8922
946 946 2 10 1 1 1.8892
947 947 2 8 3 1 1.8816
948 948 2 8 1 1 1.8812
949 949 2 4 4 1 1.8762
950 950 2 9 1 1 1.8723
951 951 2 10 1 1 1.8715
952 952 2 5 3 1 1.8639
953 953 2 8 1 1 1.8637
954 954 2 3 3 1 1.858
955 955 2 8 1 1 1.8573
956 956 2 11 1 1 1.8508
957 957 2 12 1 1 1.8493
958 958 2 4 3 1 1.8493
959 959 2 4 3 1 1.849
960 960 2 4 2 1 1.8437
961 961 2 7 3 1 1.8413
963 963 2 12 1 1 1.8365
965 965 2 1 3 1 1.8265
966 966 2 6 3 1 1.8201
967 967 2 6 1 1 1.8173
968 968 2 7 3 1 1.8169
969 969 2 7 3 1 1.8149
970 970 2 9 1 1 1.8121
971 971 2 5 1 1 1.8105
972 972 2 12 1 1 1.8052
973 973 2 7 3 1 1.8042
974 974 2 7 3 1 1.7939
975 975 2 2 1 1 1.7916
977 977 2 9 1 1 1.7814
978 978 2 9 1 1 1.7798
979 979 2 10 1 1 1.7679
980 980 2 6 1 1 1.7654
981 981 2 11 1 1 1.7638
982 982 2 7 3 1 1.7584
983 983 2 8 1 1 1.7573
984 984 2 5 3 1 1.7569
985 985 2 9 1 1 1.7565
986 986 2 10 1 1 1.7509
987 987 2 3 2 1 1.7441
988 988 2 12 3 1 1.7403
989 989 2 4 1 1 1.7374
990 990 2 5 1 1 1.7279
991 991 2 8 1 1 1.725
992 992 2 8 1 1 1.7231
993 993 2 4 1 1 1.7095
994 994 2 4 2 1 1.7088
995 995 2 5 1 1 1.6981
996 996 2 5 1 1 1.6972
997 997 2 4 2 1 1.6887
998 998 2 4 3 1 1.6842
999 999 2 10 1 1 1.6798
1000 1000 2 7 3 1 1.6773
1001 1001 2 6 3 1 1.6757
1002 1002 2 4 2 1 1.6756
1003 1003 2 4 3 1 1.6677
1004 1004 2 10 1 1 1.6665
1005 1005 2 9 1 1 1.6569
1006 1006 2 6 3 1 1.647
1008 1008 2 6 3 1 1.6369
1009 1009 2 4 3 1 1.6362
1010 1010 2 8 1 1 1.6339
1011 1011 2 4 3 1 1.6271
1012 1012 2 4 3 1 1.6181
1013 1013 2 4 3 1 1.6029
1014 1014 2 8 1 1 1.6019
1015 1015 2 10 1 1 1.598
1016 1016 2 3 2 1 1.5924
1017 1017 2 7 3 1 1.5875
1018 1018 2 3 3 1 1.5849
1019 1019 2 5 3 1 1.5675
1020 1020 2 8 1 1 1.5648
1021 1021 2 4 3 1 1.5648
1022 1022 2 4 4 1 1.5572
1023 1023 2 10 1 1 1.5565
1024 1024 2 4 3 1 1.556
1025 1025 2 8 1 1 1.5558
1026 1026 2 10 1 1 1.5537
1027 1027 2 4 2 1 1.5511
1028 1028 2 11 1 1 1.5495
1029 1029 2 7 3 1 1.5489
1030 1030 2 6 1 1 1.5076
1031 1031 2 4 1 1 1.5064
1032 1032 2 1 1 1 1.496
1033 1033 2 5 1 1 1.4882
1034 1034 2 7 3 1 1.4822
1036 1036 2 6 1 1 1.4774
1037 1037 2 11 1 1 1.4619
1038 1038 2 4 4 1 1.4616
1039 1039 2 5 1 1 1.4599
1040 1040 2 9 1 1 1.4595
1041 1041 2 5 1 1 1.4593
1042 1042 2 9 1 1 1.4565
1043 1043 2 4 3 1 1.4526
1044 1044 2 8 1 1 1.4433
1045 1045 2 6 3 1 1.4415
1047 1047 2 4 3 1 1.436
1048 1048 2 5 1 1 1.4353
1050 1050 2 4 4 1 1.4265
1051 1051 2 7 3 1 1.425
1052 1052 2 6 1 1 1.4226
1053 1053 2 6 3 1 1.4199
1054 1054 2 4 1 1 1.4111
1055 1055 2 4 2 1 1.4027
1056 1056 2 9 1 1 1.378
1057 1057 2 4 1 1 1.3639
1058 1058 2 9 1 1 1.356
1059 1059 2 3 3 1 1.354
1060 1060 2 1 3 1 1.3431
1061 1061 2 4 2 1 1.3344
1062 1062 2 6 3 1 1.3344
1064 1064 2 8 3 1 1.3296
1065 1065 2 4 1 1 1.3225
1066 1066 2 10 1 1 1.317
1067 1067 2 6 3 1 1.3024
1068 1068 2 4 3 1 1.2938
1069 1069 2 6 3 1 1.2921
1070 1070 2 3 3 1 1.2878
1071 1071 2 9 1 1 1.2746
1072 1072 2 11 1 1 1.274
1073 1073 2 4 1 1 1.2738
1074 1074 2 9 1 1 1.2643
1075 1075 2 9 1 1 1.2627
1076 1076 2 10 1 1 1.2578
1077 1077 2 10 1 1 1.2577
1078 1078 2 4 2 1 1.2571
1079 1079 2 4 4 1 1.2553
1080 1080 2 4 2 1 1.2548
1081 1081 2 4 2 1 1.245
1082 1082 2 11 1 1 1.2433
1084 1084 2 9 3 1 1.2372
1085 1085 2 9 1 1 1.2295
1086 1086 2 9 1 1 1.2277
1087 1087 2 2 1 1 1.2256
1088 1088 2 9 1 1 1.2184
1089 1089 2 4 4 1 1.216
1090 1090 2 4 4 1 1.2039
1091 1091 2 10 1 1 1.2014
1092 1092 2 4 1 1 1.1938
1093 1093 2 2 1 1 1.1826
1094 1094 2 2 3 1 1.1799
1095 1095 2 4 4 1 1.1797
1096 1096 2 6 1 1 1.1776
1097 1097 2 3 2 1 1.1711
1098 1098 2 9 1 1 1.1705
1099 1099 2 6 3 1 1.1677
1100 1100 2 6 3 1 1.1673
1101 1101 2 4 2 1 1.1665
1102 1102 2 6 3 1 1.1631
1103 1103 2 10 1 1 1.1624
1104 1104 2 11 1 1 1.155
1105 1105 2 4 4 1 1.1547
1106 1106 2 11 1 1 1.1529
1107 1107 2 7 3 1 1.1433
1108 1108 2 4 2 1 1.1393
1109 1109 2 3 3 1 1.1351
1110 1110 2 7 3 1 1.1335
1111 1111 2 11 1 1 1.1237
1112 1112 2 4 3 1 1.1199
1113 1113 2 11 1 1 1.1186
1114 1114 2 12 3 1 1.1177
1116 1116 2 3 2 1 1.1111
1117 1117 2 3 2 1 1.1053
1118 1118 2 7 3 1 1.1043
1119 1119 2 4 4 1 1.103
1120 1120 2 9 1 1 1.0943
1121 1121 2 4 2 1 1.0943
1122 1122 2 10 1 1 1.0929
1123 1123 2 6 1 1 1.0818
1124 1124 2 11 1 1 1.0801
1125 1125 2 5 3 1 1.0789
1126 1126 2 2 1 1 1.0759
1127 1127 2 4 4 1 1.0759
1128 1128 2 4 1 1 1.0696
1129 1129 2 3 3 1 1.064
1130 1130 2 10 1 1 1.0596
1131 1131 2 4 3 1 1.0578
1133 1133 2 12 3 1 1.0487
1134 1134 2 4 4 1 1.0471
1135 1135 2 3 2 1 1.0435
1136 1136 2 6 3 1 1.0383
1137 1137 2 4 1 1 1.0367
1139 1139 2 4 1 1 1.0289
1140 1140 2 6 3 1 1.0276
1141 1141 2 11 1 1 1.0243
1142 1142 2 5 1 1 1.0235
1143 1143 2 11 1 1 1.0145
1144 1144 2 9 1 1 1.013
1145 1145 2 4 4 1 1.011
1146 1146 2 11 1 1 1.0107
1148 1148 2 10 1 1 0.9991
1149 1149 2 6 1 1 0.9986
1150 1150 2 12 3 1 0.9977
1152 1152 2 3 3 1 0.9918
1154 1154 2 9 1 1 0.9908
1155 1155 2 4 2 1 0.9846
1156 1156 2 4 2 1 0.9758
1157 1157 2 2 1 1 0.962
1158 1158 2 10 1 1 0.9583
1159 1159 2 4 4 1 0.9526
1160 1160 2 4 3 1 0.9499
1161 1161 2 4 2 1 0.9294
1162 1162 2 5 3 1 0.9201
1163 1163 2 1 3 1 0.9166
1164 1164 2 3 2 1 0.9153
1165 1165 2 4 4 1 0.8961
1167 1167 2 6 1 1 0.8584
1168 1168 2 3 3 1 0.841
1170 1170 2 3 2 1 0.8204
1171 1171 2 3 2 1 0.8064
1172 1172 2 11 1 1 0.7983
1173 1173 2 9 1 1 0.7933
1174 1174 2 3 3 1 0.7722
1175 1175 2 4 4 1 0.7632
1176 1176 2 9 1 1 0.7569
1177 1177 2 11 1 1 0.7479
1178 1178 2 8 3 1 0.745
1180 1180 2 3 3 1 0.7414
1181 1181 2 9 1 1 0.7256
1182 1182 2 3 2 1 0.7246
1183 1183 2 6 1 1 0.7237
1185 1185 2 11 1 1 0.7031
1186 1186 2 11 1 1 0.7012
1187 1187 2 3 2 1 0.6856
1188 1188 2 1 3 1 0.6775
1189 1189 2 3 3 1 0.6741
1191 1191 2 4 3 1 0.6469
1193 1193 2 4 2 1 0.6319
1194 1194 2 4 2 1 0.6051
1196 1196 2 1 3 1 0.59
1197 1197 2 2 1 1 0.5779
1200 1200 2 3 2 1 0.5571
1201 1201 2 4 1 1 0.5507
1202 1202 2 11 1 1 0.5198
1203 1203 2 11 1 1 0.4952
1204 1204 2 4 2 1 0.4789
1205 1205 2 1 3 1 0.4755
1206 1206 2 11 1 1 0.4654
1207 1207 2 2 1 1 0.4619
1208 1208 2 2 1 1 0.4525
1210 1210 2 4 3 1 0.444
1211 1211 2 4 1 1 0.4333
1213 1213 2 3 2 1 0.4323
1214 1214 2 3 3 1 0.4299
1215 1215 2 4 1 1 0.4282
1216 1216 2 1 3 1 0.4234
1218 1218 2 2 1 1 0.4056
1219 1219 2 11 1 1 0.3999
1221 1221 2 12 1 1 0.397
1222 1222 2 4 1 1 0.3957
1223 1223 2 1 3 1 0.3948
1224 1224 2 4 3 1 0.3879
1225 1225 2 4 2 1 0.3872
1226 1226 2 4 2 1 0.3858
1227 1227 2 4 2 1 0.3855
1234 1234 2 3 2 1 0.3584
1238 1238 2 2 1 1 0.3307
1240 1240 2 12 1 1 0.3079
1241 1241 2 4 1 1 0.3067
1247 1247 2 3 3 1 0.2883
1248 1248 2 4 2 1 0.2853
1250 1250 2 4 1 1 0.2807
1260 1260 2 2 1 1 0.2484
1262 1262 2 11 1 1 0.2464
1268 1268 2 3 2 1 0.2327
1270 1270 2 1 1 1 0.2306
1271 1271 2 2 1 1 0.2304
1274 1274 2 2 1 1 0.2231
1278 1278 2 2 1 1 0.2163
1281 1281 2 4 3 1 0.2153
1284 1284 2 4 3 1 0.2124
1286 1286 2 1 1 1 0.2089
1292 1292 2 2 1 1 0.2002
1293 1293 2 2 1 1 0.2
1295 1295 2 1 1 1 0.1975
1296 1296 2 3 2 1 0.1968
1297 1297 2 1 1 1 0.1967
1298 1298 2 4 1 1 0.1955
1300 1300 2 4 3 1 0.1915
1301 1301 2 4 2 1 0.1912
1302 1302 2 1 1 1 0.1906
1307 1307 2 3 2 1 0.1865
1308 1308 2 3 2 1 0.1853
1311 1311 2 10 1 1 0.1813
1313 1313 2 4 3 1 0.1809
1317 1317 2 3 2 1 0.1775
1319 1319 2 12 1 1 0.175
1321 1321 2 4 2 1 0.1723
1323 1323 2 12 1 1 0.1717
1325 1325 2 3 2 1 0.1695
1330 1330 2 2 1 1 0.1633
1334 1334 2 2 1 1 0.1607
1335 1335 2 1 1 1 0.1602
1337 1337 2 4 2 1 0.1564
1339 1339 2 12 1 1 0.1562
1342 1342 2 1 1 1 0.1522
1343 1343 2 3 2 1 0.1511
1348 1348 2 3 2 1 0.1481
1349 1349 2 1 3 1 0.1439
1350 1350 2 3 2 1 0.1406
1353 1353 2 4 2 1 0.1393
1354 1354 2 1 1 1 0.1392
1356 1356 2 1 1 1 0.1374
1357 1357 2 12 1 1 0.1367
1360 1360 2 3 2 1 0.1359
1364 1364 2 4 3 1 0.1341
1365 1365 2 12 1 1 0.129
1366 1366 2 1 1 1 0.1282
1368 1368 2 1 1 1 0.1258
1369 1369 2 1 1 1 0.1255
1370 1370 2 3 2 1 0.1251
1371 1371 2 12 1 1 0.1244
1372 1372 2 1 1 1 0.124
1374 1374 2 2 1 1 0.12
1376 1376 2 1 1 1 0.1197
1378 1378 2 12 1 1 0.1179
1380 1380 2 1 1 1 0.1176
1383 1383 2 2 1 1 0.1138
1389 1389 2 2 1 1 0.1097
1390 1390 2 12 1 1 0.108
1392 1392 2 1 1 1 0.1075
1393 1393 2 1 1 1 0.1073
1397 1397 2 1 1 1 0.1038
1400 1400 2 3 2 1 0.1032
1401 1401 2 1 1 1 0.1028
1407 1407 2 2 1 1 0.1009
1413 1413 2 7 3 1 0.0987
1414 1414 2 12 1 1 0.097
1417 1417 2 1 1 1 0.0962
1419 1419 2 4 2 1 0.095
1420 1420 2 2 1 1 0.0948
1422 1422 2 2 1 1 0.0943
1424 1424 2 3 2 1 0.0934
1427 1427 2 12 1 1 0.0914
1430 1430 2 12 1 1 0.089
1431 1431 2 1 1 1 0.089
1432 1432 2 3 2 1 0.0884
1433 1433 2 12 1 1 0.0881
1435 1435 2 3 3 1 0.0879
1436 1436 2 2 1 1 0.0874
1437 1437 2 12 1 1 0.0859
1438 1438 2 1 1 1 0.0855
1439 1439 2 1 1 1 0.0833
1440 1440 2 1 1 1 0.0812
1441 1441 2 12 1 1 0.081
1442 1442 2 10 1 1 0.0807
1443 1443 2 12 1 1 0.0807
1449 1449 2 2 1 1 0.0777
1450 1450 2 12 1 1 0.0759
