Species	Sex	Wingcrd	Tarsus	Head	Culmen	Nalospi	Wt	Observer	Age
SSTS	Female	57	19.9	31.2	11.7	9.1	20.2	2	0
SSTS	Male	56	21	31.4	12.6	9.1	18.7	2	0
SSTS	Male	60	21	31.4	12.5	9.1	19.2	2	0
SSTS	Female	54	20.9	31.4	13.2	9.1	18.2	2	0
SSTS	Female	54	20.2	31.4	12.5	9.1	18.6	2	0
SSTS	Female	56	20.2	31.4	12.9	9.1	18.8	2	0
SSTS	Male	59	21.9	31.5	12.8	9.1	18.5	2	1
SSTS	Female	55.5	20.9	31.5	12.7	9.1	23.2	2	0
SSTS	Female	54.5	20.1	31.5	13.3	9.1	18.4	2	0
SSTS	Male	58	20.8	31.6	13.4	9.1	18.5	2	0
SSTS	Female	57	21.3	31.7	12.4	9.1	21.2	2	0
SSTS	Male	59	21.2	31.8	12.7	9.1	20	2	0
SSTS	Female	55	20.9	31.8	13.4	9.1	21	2	0
SSTS	Male	57	20.7	31.8	13.1	9.1	19.1	2	0
SSTS	Female	56	20.7	31.8	12.7	9.1	17.6	2	0
SSTS	Male	60	21.9	31.9	12.9	9.1	20.7	2	0
SSTS	Male	58.5	21.5	31.9	13.3	9.1	19.4	2	1
SSTS	Male	60	21.5	31.9	12.9	9.1	21.2	2	0
SSTS	Male	61	22	32.1	12.8	9.1	21.1	2	0
SSTS	Male	61	21.8	32.1	12.5	9.1	20.1	2	0
SSTS	Male	56	21.6	32.1	12.8	9.1	19.8	2	0
SSTS	Male	61	21.3	32.1	13.4	9.1	21.5	2	0
SSTS	Male	59	22	32.2	12.2	9.1	21.9	2	0
SSTS	Male	59	22.2	32.4	12.7	9.1	21.5	2	0
SSTS	Male	61.5	21.7	32.4	13.2	9.1	20.6	2	0
SSTS	Male	58.5	21.6	32.5	13.2	9.1	20	2	0
SSTS	Male	59	21.5	30.6	12.9	9	19	2	1
SSTS	Female	60	21.6	30.9	12.6	9	19	2	0
SSTS	Female	55.5	21.6	31.1	12.3	9	18.3	2	0
SSTS	Female	56.5	20	31.1	12.9	9	16	2	0
SSTS	Female	55	21.5	31.2	12.7	9	16.7	2	0
SSTS	Female	54	20	31.3	12.3	9	19	2	0
SSTS	Female	56	21.9	31.4	13.2	9	22.4	2	0
SSTS	Female	55	21.7	31.4	13.1	9	19.2	2	0
SSTS	Female	56	21	31.4	12.8	9	19.2	2	0
SSTS	Female	55.5	20.6	31.4	12.5	9	20.6	2	0
SSTS	Female	57	21.2	31.5	12.4	9	18.8	2	0
SSTS	Male	56	20.8	31.5	12.9	9	18.6	2	0
SSTS	Male	58	22.6	31.6	12.6	9	22.1	2	0
SSTS	Male	59	21.3	31.6	13	9	20.9	2	0
SSTS	Male	59.5	21.5	31.7	13.1	9	21.5	2	0
SSTS	Male	56	20.6	31.7	12.9	9	19	2	0
SSTS	Male	60	21.9	31.8	13.4	9	19.3	2	0
SSTS	Male	59	21.9	31.8	12.7	9	20.8	2	0
SSTS	Male	59	22	31.9	12.5	9	21.2	2	0
SSTS	Male	59.5	21.9	31.9	12.6	9	20.7	2	0
SSTS	Male	61.5	21.9	32.2	12.9	9	21	2	0
SSTS	Male	59	21.5	32.2	12.8	9	21.9	2	0
SSTS	Male	58	20.9	32.2	12.9	9	21.3	2	0
SSTS	Male	59	20.6	32.2	13.1	9	20.1	2	0
SSTS	Female	54.5	20.1	30.7	12.6	8.9	18.1	2	0
SSTS	Female	55	20.1	30.9	12.5	8.9	17.9	2	0
SSTS	Male	57	20.7	31.2	12.5	8.9	20.2	2	0
SSTS	Female	56	20	31.2	13.1	8.9	17.5	2	0
SSTS	Male	59.5	22.8	31.3	12.4	8.9	21.3	2	0
SSTS	Female	55	20.9	31.5	12.1	8.9	18.4	2	0
SSTS	Female	56.5	19.1	31.5	13.1	8.9	17.8	2	0
SSTS	Male	58	21.9	31.6	13.7	8.9	20.3	2	0
SSTS	Male	58	20.9	31.7	12.7	8.9	20.4	2	0
SSTS	Female	55	21.8	32	13	8.9	20.2	2	0
SSTS	Male	60	20.9	32.1	12.3	8.9	20.7	2	0
SSTS	Male	57	21.2	32.2	12.8	8.9	19.2	2	1
SSTS	Male	60	22.5	32.5	12.9	8.9	22.2	2	0
SSTS	Male	59	21.3	30.6	12	8.8	19.4	2	1
SSTS	Female	54	21	30.6	12.6	8.8	20	2	0
SSTS	Female	55.5	20.1	30.6	12.5	8.8	16.4	2	0
SSTS	Male	61	21.3	30.8	12.8	8.8	20.6	2	0
SSTS	Female	56	21.3	30.8	12.5	8.8	21.2	2	0
SSTS	Male	59	20.4	30.8	12.5	8.8	19.7	2	0
SSTS	Female	57	20.2	30.8	12.9	8.8	18.5	2	0
SSTS	Male	57	21	30.9	11.9	8.8	20.8	2	0
SSTS	Female	56	21	31	13.1	8.8	16.4	2	0
SSTS	Male	57	20.8	31.2	13.2	8.8	19.2	2	0
SSTS	Male	56	20.6	31.2	12.7	8.8	19.4	2	0
SSTS	Male	56	21.2	31.5	11.9	8.8	19.2	2	0
SSTS	Male	59.5	20.5	31.6	12.5	8.8	20.3	2	0
SSTS	Male	58	20.9	31.8	12.5	8.8	20.3	2	0
SSTS	Female	57	19.7	30.7	12.2	8.7	19.4	2	0
SSTS	Female	56.5	21.7	31.6	12.7	8.7	19.2	2	0
SSTS	Male	58	20.6	31.6	12.2	8.7	20.5	2	0
SSTS	Female	55.5	20.6	30.6	12.5	8.6	22	2	0
SSTS	Female	54	20.1	30.9	12.2	8.6	17.5	2	0
SSTS	Male	58	20.9	31.7	12.9	8.6	19.8	2	0
SSTS	Male	58	21.8	30.8	12.3	8.5	19	2	0
SSTS	Female	55	19.6	30.8	12.3	8.5	20.8	2	0
SSTS	Male	59	19.9	30.4	12.3	8.4	17.9	2	0
SSTS	Female	54.5	20.8	31.1	12	8.4	17.5	2	0
SESP	Female	59.5	23.8	34.7	15.2	12.2	22.8	2	0
SESP	Male	65	23.4	35.1	14.9	11.6	24.4	2	0
SESP	Male	60	23.2	34.7	15.8	11.4	22.8	2	0
SESP	Male	62.5	22.6	34.7	16	11.4	22.6	2	0
SESP	Female	58.5	22.3	34.4	15	11.3	21.7	2	0
SESP	Male	63	22.4	33.8	15.8	11.2	25.2	2	0
SESP	Male	63.5	24.3	34.5	14.6	11.2	24.9	2	0
SESP	Male	61.5	23.7	34.6	15.4	11.2	23.5	2	0
SESP	Male	67	24.2	34.8	15	11.2	25	2	0
SESP	Female	61	22.4	33.4	14.9	11.1	21.1	2	0
SESP	Female	59	23.1	33.9	14.8	11.1	20.9	2	0
SESP	Female	59	23.3	34	14.4	11.1	19.7	2	0
SESP	Male	63	23	34.5	14.9	11.1	25.2	2	0
SESP	Female	59	23.4	33.7	14.4	11	23.4	2	0
SESP	Male	61	23.7	34	15.2	11	21.3	2	0
SESP	Male	61.5	23.9	34.3	15.3	11	22.5	2	0
SESP	Male	62	22.5	34.5	15.1	11	23.7	2	0
SESP	Male	64.5	22.8	34	14.5	10.9	23.7	2	0
SESP	Male	63	22.5	34.1	14.6	10.9	23.7	2	0
SESP	Female	57	23	34.5	14.6	10.9	22.9	2	0
SESP	Female	61	22.3	34.5	15	10.9	23.2	2	0
SESP	Female	57	21.3	34.1	14.6	10.7	22.3	2	0
SESP	Male	63	22.7	33.1	14.3	10.6	23.1	2	0
SESP	Female	57	22.5	33.3	14.2	10.6	21.5	2	0
SESP	Male	59.5	24.1	33.9	14.1	10.6	24.5	2	0
SESP	Male	66	22.4	31.7	15.1	10.5	22.3	2	0
SESP	Male	64	23.9	33.7	14.6	10.5	22.5	2	1
SESP	Male	62	24.9	34.2	15.2	10.5	23.3	2	0
SESP	Male	60	24.1	34.4	14.6	10.5	24.3	2	0
SESP	Male	60	20.6	32.7	14.3	10.4	22	2	0
SESP	Female	61	22.5	33.7	14.4	10.4	22.4	2	0
SESP	Female	56.5	23.6	33.9	14.2	10.4	21.5	2	0
SESP	Male	61.5	23.1	33.3	14.2	10.3	22	2	0
SESP	Female	60	23.1	33.5	13.2	10	23.6	2	0
SESP	Male	61	24.3	34.4	14.8	10	23.8	2	0
SSTS	Male	59.5	21.9	31.2	12.6	10.9	20.9	3	0
SSTS	Female	53	20.6	32.5	13.5	10.7	15.6	3	0
SSTS	Male	58.5	21.7	32.8	13.6	10.4	21.8	3	0
SSTS	Male	58	22	31.2	13.2	10.3	20.8	3	0
SSTS	Male	60	21.4	31.8	12.4	10.3	21.9	3	0
SSTS	Male	60	21.5	32	13.1	10.3	20.4	3	0
SSTS	Male	58.5	21.2	32	12.6	10.3	20.8	3	0
SSTS	Female	58	21.5	31.3	12.5	10.2	21.7	3	0
SSTS	Male	59	21.5	31.5	14	10.2	21.4	3	1
SSTS	Male	57	21.1	31.6	12.9	10.2	18	3	0
SSTS	Male	57	21.8	31.8	13.7	10.2	21.5	3	0
SSTS	Male	59	21.8	32.1	12.7	10.2	20.4	3	0
SSTS	Female	56.5	21.2	32.2	13.1	10.2	17.7	3	0
SSTS	Male	60	21.3	32.5	12.7	10.2	21	3	0
SSTS	Male	56.5	21	32.5	13	10.2	20.4	3	0
SSTS	Male	60	21.6	32.6	13.1	10.2	20	3	0
SSTS	Male	56	22.3	32.7	13.5	10.2	19.8	3	0
SSTS	Male	58	21.9	32.7	13.2	10.2	20.8	3	0
SSTS	Female	56	21.9	31.3	12.2	10.1	19.2	3	0
SSTS	Female	54	21.2	31.4	12.9	10.1	18.4	3	0
SSTS	Male	55.5	21.9	31.9	13.3	10.1	20	3	0
SSTS	Male	57.5	21.8	31.9	13	10.1	20	3	1
SSTS	Male	55.5	21.6	31.9	12.5	10.1	18	3	0
SSTS	Male	58	20.6	31.9	12.9	10.1	19.8	3	0
SSTS	Male	58	21.8	32.2	13.5	10.1	20.5	3	0
SSTS	Male	59	21.7	32.2	13.2	10.1	21.1	3	0
SSTS	Male	59.5	22.5	32.3	13	10.1	20.9	3	0
SSTS	Male	56	21.6	32.3	12.9	10.1	19.3	3	0
SSTS	Male	59.5	21.6	32.3	13.2	10.1	20.9	3	0
SSTS	Male	57	21.5	32.3	12.7	10.1	19.5	3	0
SSTS	Male	57	20.8	32.5	13.4	10.1	19.2	3	0
SSTS	Male	58	21.6	32.6	12.5	10.1	20.1	3	0
SSTS	Male	59	21.8	32.7	12.9	10.1	21.4	3	0
SSTS	Male	59.5	20.8	30.3	12.6	10	20	3	1
SSTS	Male	55.5	21.1	30.8	12.8	10	18.2	3	0
SSTS	Male	59.5	21.7	31.7	13.1	10	21	3	0
SSTS	Male	57	21.1	31.7	13.3	10	21	3	0
SSTS	Female	55	20.7	31.8	13.5	10	18.6	3	0
SSTS	Female	55	21.1	31.9	13.4	10	19.4	3	0
SSTS	Male	58	21	31.9	12.4	10	19.4	3	0
SSTS	Male	57	21.2	32	13.5	10	19.2	3	0
SSTS	Male	60	20.8	32.1	13.1	10	20.8	3	0
SSTS	Male	58	22.5	32.2	13.6	10	20.6	3	0
SSTS	Male	57	21.8	32.2	12.9	10	20.1	3	1
SSTS	Male	57	21.7	32.2	13.3	10	19.5	3	0
SSTS	Male	59	21.5	32.2	13.1	10	20.8	3	0
SSTS	Male	59	22.1	32.3	13.3	10	20.5	3	0
SSTS	Male	58	21	32.3	12.9	10	22.2	3	0
SSTS	Male	59.5	21.8	32.4	12.9	10	21.2	3	0
SSTS	Male	56.5	21.5	32.4	13.3	10	19.2	3	0
SSTS	Male	58	21.5	32.5	12.9	10	19.6	3	0
SSTS	Female	55	21.5	32.5	13	10	18.3	3	0
SSTS	Male	58.5	20.9	32.6	13.5	10	19	3	0
SSTS	Male	59.5	21.5	32.8	13.3	10	21	3	0
SSTS	Male	59	22.2	32.9	12.9	10	20.4	3	0
SSTS	Male	60	22	33.5	12.6	10	20.7	3	0
SSTS	Male	59	21.8	30.5	11.8	9.9	20.3	3	0
SSTS	Female	54	21.1	30.7	12.4	9.9	22	3	0
SSTS	Female	56	21.1	30.8	12.8	9.9	19.5	3	0
SSTS	Male	57	21.2	31.1	12.9	9.9	21.1	3	0
SSTS	Female	57	21.8	31.3	12.8	9.9	16.2	3	0
SSTS	Male	57.5	21.5	31.3	12.3	9.9	19.7	3	0
SSTS	Female	55	21.2	31.8	12.5	9.9	20.8	3	0
SSTS	Female	56.5	21.9	31.9	12.9	9.9	21.2	3	0
SSTS	Male	58	21.8	32	13.3	9.9	20.2	3	0
SSTS	Male	57	21.7	32	13.2	9.9	20.4	3	0
SSTS	Male	60.5	20.7	32	11.8	9.9	20.5	3	0
SSTS	Male	59.5	21.5	32.1	13.8	9.9	20.1	3	0
SSTS	Female	55	21.4	32.1	12.8	9.9	17.8	3	0
SSTS	Male	59	21.8	32.2	12.6	9.9	21.2	3	0
SSTS	Male	60	22.1	32.3	12.7	9.9	19.9	3	0
SSTS	Male	61	21.7	32.3	13.7	9.9	21.2	3	0
SSTS	Male	59	20.7	32.5	13.3	9.9	20	3	0
SSTS	Male	60	22.8	32.6	13.3	9.9	22	3	0
SSTS	Male	57	22.4	32.6	13.3	9.9	20.5	3	0
SSTS	Male	57	22.3	32.7	13.3	9.9	19.5	3	0
SSTS	Male	59	21.1	31.3	13.3	9.8	20.6	3	0
SSTS	Female	54	20.9	31.6	12.7	9.8	17.5	3	0
SSTS	Male	57	20.5	31.7	11.8	9.8	20.2	3	0
SSTS	Male	59	21.9	31.9	12.8	9.8	21.2	3	0
SSTS	Male	59	21.5	31.9	13	9.8	20.1	3	0
SSTS	Female	55.5	20.1	31.9	12.8	9.8	20	3	0
SSTS	Male	57	21	32	12.4	9.8	19.5	3	0
SSTS	Male	55	22.3	32.1	12.9	9.8	20.6	3	0
SSTS	Male	59	22	32.2	12.6	9.8	20.4	3	0
SSTS	Male	58	21.7	32.2	13.2	9.8	22.6	3	0
SSTS	Male	57	21.6	32.2	12.5	9.8	19.6	3	0
SSTS	Male	55.5	21.6	32.4	13.3	9.8	19.8	3	0
SSTS	Male	58	21.8	32.5	13.4	9.8	19.9	3	0
SSTS	Male	58	21.8	32.5	13.4	9.8	19.9	3	0
SSTS	Male	58	22	32.8	13.3	9.8	20.6	3	0
SSTS	Male	58	21.6	32.8	13.4	9.8	20.8	3	0
SSTS	Female	56	20.5	30.8	12.8	9.7	16.8	3	0
SSTS	Male	60	21.7	31.3	12.9	9.7	19.8	3	1
SSTS	Male	59	21.8	31.4	13	9.7	19.2	3	0
SSTS	Male	58	21.5	31.4	12.7	9.7	19.7	3	1
SSTS	Male	59.5	21.2	31.5	12.7	9.7	22.1	3	0
SSTS	Female	55.5	21.8	31.6	13.4	9.7	19.2	3	0
SSTS	Male	58.5	22.1	31.7	12.8	9.7	19.9	3	0
SSTS	Female	56	21.7	31.8	12.1	9.7	20.4	3	0
SSTS	Female	56	21.3	31.8	11.9	9.7	21.3	3	0
SSTS	Male	59	21.8	32	13.1	9.7	20.4	3	0
SSTS	Male	55.5	21.4	32	13	9.7	19	3	0
SSTS	Male	55	22.4	32.1	13.1	9.7	21.8	3	0
SSTS	Male	58.5	21.7	32.1	12.5	9.7	19.5	3	0
SSTS	Male	58.5	21.7	32.1	12.9	9.7	21.5	3	0
SSTS	Male	59	21.2	32.2	13.1	9.7	20.3	3	0
SSTS	Male	55	21	32.2	12.9	9.7	18.5	3	0
SSTS	Male	60	21.7	32.3	13.2	9.7	21.2	3	0
SSTS	Male	59.5	22.3	32.4	12.9	9.7	21.1	3	0
SSTS	Male	58	22	32.4	13.2	9.7	20.5	3	1
SSTS	Male	58.5	21.9	32.4	12.6	9.7	19.7	3	0
SSTS	Male	56	21.9	32.7	13.3	9.7	20.8	3	0
SSTS	Female	56	21.3	30.9	13	9.6	17.2	3	0
SSTS	Female	57	21.1	31.1	12.5	9.6	19.7	3	0
SSTS	Male	59	21.7	31.2	12.6	9.6	19.9	3	0
SSTS	Male	58	21.3	31.3	12.6	9.6	19.7	3	0
SSTS	Female	55	21.2	31.3	13.1	9.6	20.7	3	0
SSTS	Female	54	20.8	31.3	12.5	9.6	17	3	0
