Sample	Year	Month	Location	Sex	GSI
442	1	3	1	2	0.1201
443	1	4	3	2	0.1191
444	1	3	3	1	0.1186
445	1	2	1	1	0.1181
446	1	1	1	2	0.1177
447	1	1	1	2	0.1169
448	1	1	1	1	0.1162
449	1	2	1	1	0.1121
450	1	3	1	2	0.11
451	1	4	3	1	0.1079
452	1	1	1	2	0.1069
453	1	1	1	1	0.1069
454	1	3	1	2	0.1067
455	1	3	1	2	0.1066
456	1	1	1	1	0.1061
457	1	4	3	2	0.1048
458	1	2	1	2	0.1025
459	1	2	3	1	0.1014
460	1	3	1	2	0.1006
461	1	1	1	1	0.0987
462	1	1	1	1	0.0969
463	1	4	3	2	0.0966
464	1	2	1	2	0.0941
465	1	3	3	2	0.0934
466	1	2	1	1	0.0929
467	1	2	3	1	0.0928
468	1	1	1	2	0.0922
469	1	1	1	2	0.0921
470	1	2	3	2	0.0916
471	1	2	1	1	0.0907
472	1	1	1	2	0.0903
473	1	3	3	2	0.0899
474	1	1	3	1	0.0888
475	1	4	3	2	0.0882
476	1	2	3	1	0.0881
477	1	2	1	1	0.0877
478	1	1	3	2	0.0873
479	1	1	1	1	0.0866
480	1	2	1	2	0.0835
481	1	2	1	1	0.0827
482	1	2	3	1	0.0817
483	1	2	1	1	0.0817
484	1	1	1	2	0.0812
485	1	2	1	2	0.0812
486	1	1	1	2	0.0803
487	1	2	3	2	0.0799
488	1	1	1	1	0.079
489	1	4	3	2	0.0784
490	1	2	1	2	0.0775
491	1	3	1	1	0.0774
492	1	1	1	2	0.0765
493	1	3	1	2	0.0758
494	1	1	1	1	0.0738
495	1	2	1	2	0.0732
496	1	3	1	2	0.0725
497	1	3	1	2	0.0725
498	1	5	1	2	0.0723
499	1	1	1	1	0.0711
500	1	4	3	2	0.0706
501	1	2	1	2	0.0705
502	1	3	1	2	0.0703
503	1	3	1	2	0.0669
504	1	1	1	2	0.0667
505	1	1	1	2	0.0659
506	1	1	1	1	0.0647
507	1	1	1	2	0.0634
508	1	1	1	2	0.0631
509	1	3	1	2	0.0616
510	1	5	1	2	0.0613
511	1	4	3	2	0.0602
512	1	2	1	2	0.0594
513	1	2	1	2	0.0592
514	1	2	1	2	0.0583
515	1	2	1	1	0.0554
516	1	1	1	2	0.0553
517	1	3	3	2	0.0536
518	1	2	1	1	0.053
519	1	1	3	1	0.0526
520	1	3	1	2	0.0524
521	1	3	3	2	0.0503
522	1	2	1	2	0.05
523	1	5	1	2	0.05
524	1	1	1	2	0.0488
525	1	1	1	2	0.0478
526	1	2	1	2	0.0476
527	1	1	3	1	0.047
528	1	4	3	2	0.0456
529	1	4	3	2	0.0423
530	1	1	1	2	0.0419
531	1	6	1	2	0.0411
532	1	4	3	2	0.041
533	1	1	1	2	0.0408
534	1	1	3	2	0.0378
535	1	1	1	1	0.0375
536	1	2	1	2	0.0362
537	1	1	3	1	0.0334
538	1	1	1	2	0.0319
539	1	1	1	1	0.0276
540	1	1	1	2	0.0258
541	1	3	1	2	0.0239
542	1	4	3	1	0.0218
543	1	2	1	1	0.019
544	1	6	1	1	0.0167
545	1	5	1	1	0.0131
546	2	10	1	2	14.6
547	2	8	1	2	13.3074
548	2	10	1	2	11.225
549	2	11	1	2	11.1708
550	2	10	1	2	10.7293
551	2	12	1	2	10.6573
552	2	11	1	2	10.6325
553	2	11	1	2	10.59
554	2	11	1	2	10.4276
555	2	11	1	2	10.2038
556	2	10	1	2	10.1988
557	2	9	1	2	10.1976
558	2	10	1	2	10.1789
559	2	11	1	2	10.1307
560	2	11	1	2	10.1166
561	2	12	1	2	10.0938
562	2	11	1	2	10.0905
563	2	11	1	2	10.0262
564	2	11	1	2	9.972
565	2	11	1	2	9.93
566	2	8	1	2	9.9144
567	2	10	1	2	9.7788
568	2	11	1	2	9.7327
569	2	12	1	2	9.7176
570	2	11	1	2	9.7035
571	2	11	1	2	9.6587
572	2	11	1	2	9.4322
573	2	9	1	2	9.3054
574	2	9	1	2	9.2767
575	2	10	1	2	9.2433
576	2	9	1	2	9.1313
577	2	11	1	2	9.0969
578	2	10	1	2	9.0965
579	2	12	1	2	9.0909
580	2	10	1	2	9.0322
581	2	10	1	2	9.0079
582	2	11	1	2	8.9569
583	2	8	1	2	8.9543
584	2	10	1	2	8.9538
585	2	10	1	2	8.9294
586	2	10	1	2	8.9104
587	2	1	3	2	8.9062
588	2	11	1	2	8.8865
589	2	8	1	2	8.879
590	2	10	1	2	8.8491
591	2	9	1	2	8.8315
592	2	9	1	2	8.8053
593	2	7	3	2	8.8048
594	2	10	1	2	8.8013
595	2	9	1	2	8.7673
596	2	10	1	2	8.7549
597	2	9	1	2	8.7542
598	2	9	1	2	8.7367
599	2	10	1	2	8.7097
600	2	11	1	2	8.664
601	2	10	1	2	8.6215
602	2	11	1	2	8.6
603	2	9	1	2	8.5628
604	2	8	1	2	8.5152
605	2	9	1	2	8.5134
606	2	11	1	2	8.4985
607	2	10	1	2	8.4758
608	2	11	1	2	8.4266
609	2	10	1	2	8.4189
610	2	10	1	2	8.4173
611	2	9	1	2	8.3025
612	2	11	1	2	8.2971
613	2	10	1	2	8.2877
614	2	10	1	2	8.2424
615	2	10	1	2	8.2401
616	2	9	1	2	8.1204
617	2	10	1	2	8.0685
618	2	12	1	2	8.0288
619	2	8	1	2	8.0225
620	2	11	1	2	8.0076
621	2	10	1	2	7.945
622	2	10	1	2	7.9392
623	2	8	1	2	7.9077
624	2	8	1	2	7.9034
625	2	8	1	2	7.8582
626	2	11	1	2	7.8447
627	2	8	1	2	7.8097
628	2	9	1	2	7.7826
629	2	10	1	2	7.7584
630	2	8	1	2	7.7181
631	2	8	1	2	7.678
632	2	9	1	2	7.6166
633	2	8	1	2	7.604
634	2	9	1	2	7.5614
635	2	10	1	2	7.5339
636	2	10	1	2	7.5299
637	2	7	3	2	7.5255
638	2	4	4	2	7.5117
639	2	8	1	2	7.5004
640	2	7	3	2	7.4852
641	2	8	1	2	7.4599
642	2	8	1	2	7.4558
643	2	8	1	2	7.4291
644	2	9	1	2	7.4249
645	2	9	1	2	7.4224
646	2	9	1	2	7.4135
647	2	11	1	2	7.4016
648	2	9	1	2	7.3868
649	2	11	1	2	7.3199
650	2	10	1	2	7.2993
651	2	9	1	2	7.2794
652	2	9	1	2	7.2709
653	2	8	1	2	7.2448
654	2	8	1	2	7.1947
655	2	7	3	2	7.1582
656	2	11	1	2	7.1026
657	2	5	1	2	7.0812
658	2	8	1	2	7.0273
659	2	7	3	2	7.0265
660	2	11	1	2	7.0214
661	2	7	3	2	6.9979
662	2	5	1	2	6.9136
663	2	11	3	2	6.9135
664	2	4	4	2	6.911
665	2	8	1	2	6.9016
666	2	9	1	2	6.8942
667	2	8	1	2	6.8237
668	2	9	1	2	6.7927
669	2	9	1	2	6.7219
670	2	9	1	2	6.711
671	2	6	1	2	6.7063
672	2	8	1	2	6.6955
673	2	7	3	2	6.6588
674	2	8	1	2	6.6495
675	2	6	3	2	6.5806
676	2	6	1	2	6.5679
677	2	8	3	2	6.5431
678	2	8	1	2	6.4971
679	2	7	3	2	6.4719
680	2	7	3	2	6.4449
681	2	7	3	2	6.3901
682	2	7	3	2	6.383
683	2	8	1	2	6.3081
684	2	7	3	2	6.3078
685	2	7	3	2	6.2636
686	2	6	3	2	6.2545
687	2	7	3	2	6.2097
688	2	5	1	2	6.1898
689	2	4	4	2	6.1536
690	2	7	3	2	6.152
691	2	8	1	2	6.139
692	2	9	1	2	6.1292
693	2	6	3	2	6.1186
694	2	9	1	2	6.0948
695	2	11	1	2	6.0284
696	2	7	3	2	6.0248
697	2	7	3	2	6.0235
698	2	7	3	2	6.0143
699	2	7	3	2	6.0088
700	2	4	4	2	5.9291
701	2	8	3	2	5.9063
702	2	7	3	2	5.8643
703	2	6	1	2	5.8346
704	2	7	3	2	5.8089
705	2	8	1	2	5.7561
706	2	7	3	2	5.7408
707	2	7	3	2	5.7189
708	2	7	3	2	5.7174
709	2	4	4	2	5.6927
710	2	7	3	2	5.6646
711	2	7	3	2	5.6126
712	2	7	3	2	5.5757
713	2	5	1	2	5.5693
714	2	11	1	2	5.5599
715	2	11	1	2	5.5434
716	2	9	1	2	5.5
717	2	6	3	2	5.485
718	2	4	4	2	5.4841
719	2	8	3	2	5.4529
720	2	5	1	2	5.4476
721	2	7	3	2	5.4454
722	2	8	1	2	5.4329
723	2	11	1	2	5.4161
724	2	5	3	2	5.4065
725	2	7	3	2	5.3348
726	2	4	4	2	5.3312
727	2	6	3	2	5.3281
728	2	7	3	2	5.32
729	2	7	3	2	5.2834
730	2	5	1	2	5.282
731	2	6	1	2	5.2475
732	2	7	3	2	5.2422
733	2	5	1	2	5.189
734	2	4	4	2	5.1216
735	2	6	1	2	5.0929
736	2	4	4	2	5.0718
737	2	7	3	2	5.0496
738	2	11	1	2	5.0368
739	2	4	4	2	5.0271
740	2	7	3	2	4.9942
741	2	7	3	2	4.9345
742	2	4	4	2	4.9102
743	2	6	1	2	4.9
744	2	7	3	2	4.8643
745	2	6	1	2	4.8603
746	2	6	1	2	4.8378
747	2	4	4	2	4.7322
748	2	7	3	2	4.7244
749	2	4	4	2	4.7208
750	2	6	3	2	4.6941
751	2	4	4	2	4.6708
752	2	4	4	2	4.6544
753	2	4	4	2	4.5635
754	2	5	1	2	4.5419
755	2	6	1	2	4.437
756	2	7	3	2	4.4284
757	2	7	3	2	4.4048
758	2	5	1	2	4.3976
759	2	5	1	2	4.347
760	2	5	1	2	4.3077
761	2	4	4	2	4.2684
762	2	5	1	2	4.2373
763	2	10	1	1	4.2144
764	2	6	1	2	4.2037
765	2	11	1	1	4.1906
766	2	6	1	2	4.128
767	2	5	3	2	4.0954
768	2	6	1	2	4.0436
769	2	4	4	2	3.9318
770	2	6	3	2	3.8958
771	2	11	1	1	3.8598
772	2	6	1	2	3.8577
773	2	9	1	1	3.804
774	2	4	4	2	3.7853
775	2	4	4	2	3.7213
776	2	4	4	2	3.5885
777	2	6	3	2	3.5856
778	2	8	1	1	3.5826
779	2	6	3	2	3.5465
780	2	5	1	2	3.5327
781	2	5	1	2	3.4815
782	2	6	3	2	3.4803
783	2	4	4	2	3.4779
784	2	6	1	2	3.4387
785	2	8	1	1	3.3895
786	2	8	1	1	3.3839
787	2	8	1	1	3.3324
788	2	6	1	1	3.2799
789	2	4	1	1	3.2536
790	2	6	1	1	3.2492
791	2	6	1	1	3.2383
792	2	8	1	1	3.2333
793	2	11	1	1	3.2161
794	2	8	1	1	3.1991
795	2	5	1	1	3.1264
796	2	11	1	1	3.1242
797	2	5	1	2	3.1201
798	2	4	1	2	3.0638
799	2	10	1	1	3.0116
800	2	8	1	1	2.9792
801	2	6	1	2	2.9623
802	2	6	1	1	2.9531
803	2	8	1	1	2.9504
804	2	5	1	2	2.9428
805	2	6	1	1	2.8932
806	2	5	1	2	2.893
807	2	6	1	1	2.8892
808	2	6	1	1	2.865
809	2	7	3	1	2.8257
810	2	6	1	1	2.8067
811	2	8	1	1	2.7965
812	2	5	1	2	2.7759
813	2	5	1	1	2.7649
814	2	5	1	1	2.7588
815	2	8	1	1	2.7189
816	2	11	1	1	2.7134
817	2	6	1	1	2.7084
818	2	4	1	1	2.7035
819	2	5	3	1	2.7023
820	2	6	3	1	2.6864
821	2	4	3	1	2.6559
822	2	6	1	1	2.6494
823	2	8	1	1	2.6463
824	2	5	1	1	2.6269
825	2	10	1	1	2.6265
826	2	7	3	1	2.603
827	2	9	1	1	2.5842
828	2	12	1	1	2.569
829	2	8	1	1	2.568
830	2	8	1	1	2.555
831	2	5	1	2	2.5483
832	2	9	1	1	2.5396
833	2	5	1	2	2.521
834	2	11	1	1	2.502
835	2	7	3	1	2.496
836	2	5	1	1	2.4848
837	2	10	1	1	2.4796
838	2	7	3	1	2.4732
839	2	6	1	1	2.4703
840	2	6	3	2	2.4701
841	2	4	1	1	2.436
842	2	5	1	2	2.4307
843	2	12	1	1	2.4254
844	2	6	1	1	2.4221
845	2	4	3	1	2.4193
846	2	4	3	1	2.4151
847	2	2	1	1	2.4094
848	2	6	1	1	2.409
849	2	7	3	1	2.4
850	2	4	1	1	2.4
851	2	9	1	1	2.3826
852	2	10	1	1	2.3697
853	2	5	1	1	2.3689
854	2	5	3	1	2.3632
855	2	7	3	1	2.3571
856	2	10	1	1	2.3504
857	2	7	3	2	2.3484
858	2	9	1	1	2.3468
859	2	9	3	1	2.3456
860	2	7	3	1	2.3423
861	2	6	1	1	2.3414
862	2	8	1	1	2.329
863	2	4	1	1	2.3209
864	2	7	3	1	2.3194
865	2	4	4	1	2.319
866	2	4	4	2	2.3173
867	2	4	4	1	2.3154
868	2	10	1	2	2.3117
869	2	6	3	1	2.2992
870	2	5	1	1	2.29
871	2	6	3	1	2.289
872	2	5	1	1	2.2888
873	2	7	3	1	2.2852
874	2	4	1	1	2.2779
875	2	10	1	1	2.272
876	2	5	1	1	2.2706
877	2	6	1	2	2.2665
878	2	5	1	1	2.255
879	2	10	1	1	2.252
880	2	7	3	1	2.251
881	2	5	1	2	2.2506
882	2	5	1	1	2.2494
883	2	4	4	1	2.2451
884	2	4	4	1	2.2393
885	2	11	1	2	2.2375
886	2	6	3	1	2.2339
887	2	5	1	1	2.2302
888	2	6	3	1	2.2302
889	2	6	1	2	2.2294
890	2	4	3	1	2.2184
891	2	6	3	1	2.2135
892	2	12	1	1	2.2048
893	2	10	1	1	2.1835
894	2	6	3	1	2.1727
895	2	4	4	1	2.1721
896	2	4	4	2	2.1643
897	2	5	3	1	2.1564
898	2	7	3	1	2.1554
899	2	4	2	1	2.1478
900	2	5	1	1	2.1454
901	2	11	1	1	2.1439
902	2	7	3	1	2.1304
903	2	10	1	1	2.1282
904	2	1	1	1	2.1271
905	2	4	4	2	2.1256
906	2	6	1	1	2.1238
907	2	11	1	1	2.1196
908	2	7	3	1	2.1129
909	2	6	3	2	2.1115
910	2	5	1	1	2.1114
911	2	6	1	1	2.1047
912	2	7	3	1	2.1038
913	2	7	3	1	2.0966
914	2	9	1	1	2.0756
915	2	8	1	1	2.0749
916	2	4	1	1	2.0739
917	2	11	1	1	2.0737
918	2	7	3	1	2.0617
919	2	6	3	1	2.0602
920	2	8	1	1	2.0575
921	2	8	1	1	2.0431
922	2	6	1	1	2.0397
923	2	4	1	1	2.0371
924	2	5	1	1	2.0327
925	2	7	3	1	2.0273
926	2	5	1	1	2.0221
927	2	10	1	1	2.0191
928	2	9	1	1	2.0055
929	2	5	3	1	1.9916
930	2	5	1	1	1.9895
931	2	12	1	1	1.9881
932	2	10	1	1	1.9869
933	2	7	3	1	1.9832
934	2	6	3	1	1.9804
935	2	8	1	1	1.9753
936	2	3	3	1	1.9749
937	2	4	3	1	1.9736
