Sample GSI YEAR MONTH Location Sex
276 277 0.5175 1 6 1 1
277 278 0.4943 1 4 3 1
278 279 0.4921 1 1 1 1
279 280 0.4832 1 3 3 1
280 281 0.4808 1 1 1 1
281 282 0.4774 1 3 1 1
282 283 0.4756 1 2 3 1
283 284 0.4653 1 3 1 1
284 285 0.4506 1 5 1 1
285 286 0.4377 1 6 1 1
286 287 0.4259 1 4 3 1
287 288 0.4132 1 2 3 1
288 289 0.3976 1 4 3 1
289 290 0.3905 1 3 1 1
290 291 0.3904 1 3 3 1
291 292 0.3828 1 1 3 2
292 293 0.3763 1 4 3 2
293 294 0.3759 1 5 1 2
294 295 0.3659 1 5 1 2
295 296 0.3541 1 5 1 2
296 297 0.343 1 4 3 1
297 298 0.3421 1 3 1 1
298 299 0.3392 1 5 1 2
299 300 0.3392 1 5 1 2
300 301 0.3352 1 3 1 2
301 302 0.3289 1 1 1 1
302 303 0.3267 1 6 1 2
303 304 0.3122 1 2 1 1
304 305 0.3117 1 5 1 2
305 306 0.3041 1 4 3 1
306 307 0.3039 1 3 1 1
307 308 0.3028 1 3 1 1
308 309 0.2986 1 5 1 2
309 310 0.2895 1 3 1 1
310 311 0.2878 1 5 1 2
311 312 0.287 1 2 3 1
312 313 0.2828 1 4 3 2
313 314 0.2786 1 5 1 2
314 315 0.2783 1 5 3 2
315 316 0.2773 1 4 3 2
316 317 0.2758 1 1 1 1
317 318 0.2739 1 3 3 1
318 319 0.2738 1 2 3 1
319 320 0.2683 1 2 3 1
320 321 0.265 1 3 3 1
321 322 0.2642 1 5 1 2
322 323 0.2641 1 5 1 2
323 324 0.2638 1 5 1 2
324 325 0.2636 1 4 3 2
325 326 0.26 1 2 3 2
326 327 0.2577 1 2 3 1
327 328 0.2529 1 2 3 1
328 329 0.2506 1 1 1 1
329 330 0.2463 1 3 3 1
330 331 0.2388 1 6 1 2
331 332 0.2352 1 3 3 1
332 333 0.2321 1 2 1 2
333 334 0.2316 1 3 1 2
334 335 0.2294 1 2 1 2
335 336 0.226 1 5 3 2
336 337 0.2252 1 3 1 1
337 338 0.2242 1 5 1 1
338 339 0.2219 1 5 1 2
339 340 0.2214 1 2 1 1
340 341 0.2207 1 2 1 1
341 342 0.2204 1 2 1 1
342 343 0.22 1 5 1 2
343 344 0.2199 1 3 1 2
344 345 0.2191 1 6 1 2
345 346 0.2189 1 2 3 1
346 347 0.2178 1 3 1 2
347 348 0.217 1 4 3 2
348 349 0.216 1 3 3 2
349 350 0.2156 1 4 3 2
350 351 0.2144 1 4 3 2
351 352 0.2092 1 1 1 2
352 353 0.2065 1 3 1 1
353 354 0.2061 1 3 3 1
354 355 0.2056 1 5 1 2
355 356 0.2046 1 2 1 2
356 357 0.2034 1 5 3 2
357 358 0.2028 1 3 3 1
358 359 0.2024 1 2 1 1
359 360 0.1985 1 2 3 1
360 361 0.1979 1 5 1 2
361 362 0.1938 1 5 1 2
362 363 0.1935 1 4 3 1
363 364 0.1893 1 3 3 1
364 365 0.1892 1 3 3 1
365 366 0.1887 1 3 3 1
366 367 0.1875 1 3 1 1
367 368 0.1859 1 2 1 1
368 369 0.1847 1 4 3 2
369 370 0.1842 1 3 1 2
370 371 0.1827 1 2 3 1
371 372 0.1815 1 4 3 2
372 373 0.1792 1 1 1 2
373 374 0.1782 1 3 3 2
374 375 0.1775 1 5 1 2
375 376 0.175 1 5 1 1
376 377 0.1714 1 4 3 2
377 378 0.1681 1 4 3 1
378 379 0.1681 1 5 1 2
379 380 0.1664 1 4 3 2
380 381 0.1661 1 1 3 1
381 382 0.1657 1 2 1 1
382 383 0.1654 1 2 3 1
383 384 0.164 1 3 1 2
384 385 0.1621 1 2 1 1
385 386 0.162 1 4 3 2
386 387 0.1618 1 1 1 2
387 388 0.1611 1 2 1 1
388 389 0.1589 1 2 1 1
389 390 0.1569 1 3 3 2
390 391 0.1555 1 2 1 1
391 392 0.1549 1 2 1 1
392 393 0.1543 1 1 1 1
393 394 0.1541 1 1 1 1
394 395 0.1516 1 3 1 2
395 396 0.1504 1 6 1 2
396 397 0.1503 1 4 3 2
397 398 0.1497 1 5 3 2
398 399 0.1492 1 3 1 1
399 400 0.149 1 1 1 2
400 401 0.1473 1 3 3 2
401 402 0.1472 1 2 1 2
402 403 0.1466 1 2 1 2
403 404 0.1465 1 3 1 2
404 405 0.1436 1 3 1 2
405 406 0.1433 1 5 1 2
406 407 0.1415 1 3 1 2
407 408 0.1412 1 3 1 2
408 409 0.1405 1 2 1 2
409 410 0.1402 1 2 1 1
410 411 0.1401 1 2 3 1
411 412 0.14 1 2 1 1
412 413 0.1399 1 3 1 2
413 414 0.1398 1 5 1 2
414 415 0.1395 1 2 1 1
415 416 0.1392 1 2 1 2
416 417 0.139 1 2 1 1
417 418 0.1379 1 1 1 2
418 419 0.137 1 3 1 2
419 420 0.1352 1 5 1 2
420 421 0.1347 1 3 1 1
421 422 0.1346 1 2 1 2
422 423 0.1344 1 2 1 1
423 424 0.134 1 1 1 1
424 425 0.1337 1 3 1 2
425 426 0.1336 1 4 3 2
426 427 0.133 1 1 1 1
427 428 0.132 1 4 3 2
428 429 0.1319 1 6 1 2
429 430 0.1318 1 3 1 2
430 431 0.1316 1 1 1 1
431 432 0.1307 1 1 1 2
432 433 0.1298 1 3 1 2
433 434 0.127 1 3 1 2
434 435 0.1261 1 2 1 1
435 436 0.1261 1 2 1 1
436 437 0.1239 1 2 1 1
437 438 0.1218 1 2 1 2
438 439 0.1218 1 2 1 2
439 440 0.1212 1 3 1 1
440 441 0.1205 1 3 3 2
441 442 0.1201 1 3 1 2
442 443 0.1191 1 4 3 2
443 444 0.1186 1 3 3 1
444 445 0.1181 1 2 1 1
445 446 0.1177 1 1 1 2
446 447 0.1169 1 1 1 2
447 448 0.1162 1 1 1 1
448 449 0.1121 1 2 1 1
449 450 0.11 1 3 1 2
450 451 0.1079 1 4 3 1
451 452 0.1069 1 1 1 2
452 453 0.1069 1 1 1 1
453 454 0.1067 1 3 1 2
454 455 0.1066 1 3 1 2
455 456 0.1061 1 1 1 1
456 457 0.1048 1 4 3 2
457 458 0.1025 1 2 1 2
458 459 0.1014 1 2 3 1
459 460 0.1006 1 3 1 2
460 461 0.0987 1 1 1 1
461 462 0.0969 1 1 1 1
462 463 0.0966 1 4 3 2
463 464 0.0941 1 2 1 2
464 465 0.0934 1 3 3 2
465 466 0.0929 1 2 1 1
466 467 0.0928 1 2 3 1
467 468 0.0922 1 1 1 2
468 469 0.0921 1 1 1 2
469 470 0.0916 1 2 3 2
470 471 0.0907 1 2 1 1
471 472 0.0903 1 1 1 2
472 473 0.0899 1 3 3 2
473 474 0.0888 1 1 3 1
474 475 0.0882 1 4 3 2
475 476 0.0881 1 2 3 1
476 477 0.0877 1 2 1 1
477 478 0.0873 1 1 3 2
478 479 0.0866 1 1 1 1
479 480 0.0835 1 2 1 2
480 481 0.0827 1 2 1 1
481 482 0.0817 1 2 3 1
482 483 0.0817 1 2 1 1
483 484 0.0812 1 1 1 2
484 485 0.0812 1 2 1 2
485 486 0.0803 1 1 1 2
486 487 0.0799 1 2 3 2
487 488 0.079 1 1 1 1
488 489 0.0784 1 4 3 2
489 490 0.0775 1 2 1 2
490 491 0.0774 1 3 1 1
491 492 0.0765 1 1 1 2
492 493 0.0758 1 3 1 2
493 494 0.0738 1 1 1 1
494 495 0.0732 1 2 1 2
495 496 0.0725 1 3 1 2
496 497 0.0725 1 3 1 2
497 498 0.0723 1 5 1 2
498 499 0.0711 1 1 1 1
499 500 0.0706 1 4 3 2
500 501 0.0705 1 2 1 2
501 502 0.0703 1 3 1 2
502 503 0.0669 1 3 1 2
503 504 0.0667 1 1 1 2
504 505 0.0659 1 1 1 2
505 506 0.0647 1 1 1 1
506 507 0.0634 1 1 1 2
507 508 0.0631 1 1 1 2
508 509 0.0616 1 3 1 2
509 510 0.0613 1 5 1 2
510 511 0.0602 1 4 3 2
511 512 0.0594 1 2 1 2
512 513 0.0592 1 2 1 2
513 514 0.0583 1 2 1 2
514 515 0.0554 1 2 1 1
515 516 0.0553 1 1 1 2
516 517 0.0536 1 3 3 2
517 518 0.053 1 2 1 1
518 519 0.0526 1 1 3 1
519 520 0.0524 1 3 1 2
520 521 0.0503 1 3 3 2
521 522 0.05 1 2 1 2
522 523 0.05 1 5 1 2
523 524 0.0488 1 1 1 2
524 525 0.0478 1 1 1 2
525 526 0.0476 1 2 1 2
526 527 0.047 1 1 3 1
527 528 0.0456 1 4 3 2
528 529 0.0423 1 4 3 2
529 530 0.0419 1 1 1 2
530 531 0.0411 1 6 1 2
531 532 0.041 1 4 3 2
532 533 0.0408 1 1 1 2
533 534 0.0378 1 1 3 2
534 535 0.0375 1 1 1 1
535 536 0.0362 1 2 1 2
536 537 0.0334 1 1 3 1
537 538 0.0319 1 1 1 2
538 539 0.0276 1 1 1 1
539 540 0.0258 1 1 1 2
540 541 0.0239 1 3 1 2
541 542 0.0218 1 4 3 1
542 543 0.019 1 2 1 1
543 544 0.0167 1 6 1 1
544 545 0.0131 1 5 1 1
545 546 14.6 2 10 1 2
546 547 13.3074 2 8 1 2
547 548 11.225 2 10 1 2
548 549 11.1708 2 11 1 2
549 550 10.7293 2 10 1 2
550 551 10.6573 2 12 1 2
551 552 10.6325 2 11 1 2
552 553 10.59 2 11 1 2
553 554 10.4276 2 11 1 2
554 555 10.2038 2 11 1 2
555 556 10.1988 2 10 1 2
556 557 10.1976 2 9 1 2
557 558 10.1789 2 10 1 2
558 559 10.1307 2 11 1 2
559 560 10.1166 2 11 1 2
560 561 10.0938 2 12 1 2
561 562 10.0905 2 11 1 2
562 563 10.0262 2 11 1 2
563 564 9.972 2 11 1 2
564 565 9.93 2 11 1 2
565 566 9.9144 2 8 1 2
566 567 9.7788 2 10 1 2
567 568 9.7327 2 11 1 2
568 569 9.7176 2 12 1 2
569 570 9.7035 2 11 1 2
570 571 9.6587 2 11 1 2
571 572 9.4322 2 11 1 2
572 573 9.3054 2 9 1 2
573 574 9.2767 2 9 1 2
574 575 9.2433 2 10 1 2
575 576 9.1313 2 9 1 2
576 577 9.0969 2 11 1 2
577 578 9.0965 2 10 1 2
578 579 9.0909 2 12 1 2
579 580 9.0322 2 10 1 2
580 581 9.0079 2 10 1 2
581 582 8.9569 2 11 1 2
582 583 8.9543 2 8 1 2
583 584 8.9538 2 10 1 2
584 585 8.9294 2 10 1 2
585 586 8.9104 2 10 1 2
586 587 8.9062 2 1 3 2
587 588 8.8865 2 11 1 2
588 589 8.879 2 8 1 2
589 590 8.8491 2 10 1 2
590 591 8.8315 2 9 1 2
591 592 8.8053 2 9 1 2
592 593 8.8048 2 7 3 2
593 594 8.8013 2 10 1 2
594 595 8.7673 2 9 1 2
595 596 8.7549 2 10 1 2
596 597 8.7542 2 9 1 2
597 598 8.7367 2 9 1 2
598 599 8.7097 2 10 1 2
599 600 8.664 2 11 1 2
600 601 8.6215 2 10 1 2
601 602 8.6 2 11 1 2
602 603 8.5628 2 9 1 2
603 604 8.5152 2 8 1 2
604 605 8.5134 2 9 1 2
605 606 8.4985 2 11 1 2
606 607 8.4758 2 10 1 2
607 608 8.4266 2 11 1 2
608 609 8.4189 2 10 1 2
609 610 8.4173 2 10 1 2
610 611 8.3025 2 9 1 2
611 612 8.2971 2 11 1 2
612 613 8.2877 2 10 1 2
613 614 8.2424 2 10 1 2
614 615 8.2401 2 10 1 2
615 616 8.1204 2 9 1 2
616 617 8.0685 2 10 1 2
617 618 8.0288 2 12 1 2
618 619 8.0225 2 8 1 2
619 620 8.0076 2 11 1 2
620 621 7.945 2 10 1 2
621 622 7.9392 2 10 1 2
622 623 7.9077 2 8 1 2
623 624 7.9034 2 8 1 2
624 625 7.8582 2 8 1 2
625 626 7.8447 2 11 1 2
626 627 7.8097 2 8 1 2
627 628 7.7826 2 9 1 2
628 629 7.7584 2 10 1 2
629 630 7.7181 2 8 1 2
630 631 7.678 2 8 1 2
631 632 7.6166 2 9 1 2
632 633 7.604 2 8 1 2
633 634 7.5614 2 9 1 2
634 635 7.5339 2 10 1 2
635 636 7.5299 2 10 1 2
636 637 7.5255 2 7 3 2
637 638 7.5117 2 4 4 2
638 639 7.5004 2 8 1 2
639 640 7.4852 2 7 3 2
640 641 7.4599 2 8 1 2
641 642 7.4558 2 8 1 2
642 643 7.4291 2 8 1 2
643 644 7.4249 2 9 1 2
644 645 7.4224 2 9 1 2
645 646 7.4135 2 9 1 2
646 647 7.4016 2 11 1 2
647 648 7.3868 2 9 1 2
648 649 7.3199 2 11 1 2
649 650 7.2993 2 10 1 2
650 651 7.2794 2 9 1 2
651 652 7.2709 2 9 1 2
652 653 7.2448 2 8 1 2
653 654 7.1947 2 8 1 2
654 655 7.1582 2 7 3 2
655 656 7.1026 2 11 1 2
656 657 7.0812 2 5 1 2
657 658 7.0273 2 8 1 2
658 659 7.0265 2 7 3 2
659 660 7.0214 2 11 1 2
660 661 6.9979 2 7 3 2
661 662 6.9136 2 5 1 2
662 663 6.9135 2 11 3 2
663 664 6.911 2 4 4 2
664 665 6.9016 2 8 1 2
665 666 6.8942 2 9 1 2
666 667 6.8237 2 8 1 2
667 668 6.7927 2 9 1 2
668 669 6.7219 2 9 1 2
669 670 6.711 2 9 1 2
670 671 6.7063 2 6 1 2
671 672 6.6955 2 8 1 2
672 673 6.6588 2 7 3 2
673 674 6.6495 2 8 1 2
674 675 6.5806 2 6 3 2
675 676 6.5679 2 6 1 2
676 677 6.5431 2 8 3 2
677 678 6.4971 2 8 1 2
678 679 6.4719 2 7 3 2
679 680 6.4449 2 7 3 2
680 681 6.3901 2 7 3 2
681 682 6.383 2 7 3 2
682 683 6.3081 2 8 1 2
683 684 6.3078 2 7 3 2
684 685 6.2636 2 7 3 2
685 686 6.2545 2 6 3 2
686 687 6.2097 2 7 3 2
687 688 6.1898 2 5 1 2
688 689 6.1536 2 4 4 2
689 690 6.152 2 7 3 2
690 691 6.139 2 8 1 2
691 692 6.1292 2 9 1 2
692 693 6.1186 2 6 3 2
693 694 6.0948 2 9 1 2
694 695 6.0284 2 11 1 2
695 696 6.0248 2 7 3 2
696 697 6.0235 2 7 3 2
697 698 6.0143 2 7 3 2
698 699 6.0088 2 7 3 2
699 700 5.9291 2 4 4 2
700 701 5.9063 2 8 3 2
701 702 5.8643 2 7 3 2
702 703 5.8346 2 6 1 2
703 704 5.8089 2 7 3 2
704 705 5.7561 2 8 1 2
705 706 5.7408 2 7 3 2
706 707 5.7189 2 7 3 2
707 708 5.7174 2 7 3 2
708 709 5.6927 2 4 4 2
709 710 5.6646 2 7 3 2
710 711 5.6126 2 7 3 2
711 712 5.5757 2 7 3 2
712 713 5.5693 2 5 1 2
713 714 5.5599 2 11 1 2
714 715 5.5434 2 11 1 2
715 716 5.5 2 9 1 2
716 717 5.485 2 6 3 2
717 718 5.4841 2 4 4 2
718 719 5.4529 2 8 3 2
719 720 5.4476 2 5 1 2
720 721 5.4454 2 7 3 2
721 722 5.4329 2 8 1 2
722 723 5.4161 2 11 1 2
723 724 5.4065 2 5 3 2
724 725 5.3348 2 7 3 2
725 726 5.3312 2 4 4 2
726 727 5.3281 2 6 3 2
727 728 5.32 2 7 3 2
728 729 5.2834 2 7 3 2
729 730 5.282 2 5 1 2
730 731 5.2475 2 6 1 2
731 732 5.2422 2 7 3 2
732 733 5.189 2 5 1 2
733 734 5.1216 2 4 4 2
734 735 5.0929 2 6 1 2
735 736 5.0718 2 4 4 2
736 737 5.0496 2 7 3 2
737 738 5.0368 2 11 1 2
738 739 5.0271 2 4 4 2
739 740 4.9942 2 7 3 2
740 741 4.9345 2 7 3 2
741 742 4.9102 2 4 4 2
742 743 4.9 2 6 1 2
743 744 4.8643 2 7 3 2
744 745 4.8603 2 6 1 2
745 746 4.8378 2 6 1 2
746 747 4.7322 2 4 4 2
747 748 4.7244 2 7 3 2
748 749 4.7208 2 4 4 2
749 750 4.6941 2 6 3 2
750 751 4.6708 2 4 4 2
751 752 4.6544 2 4 4 2
752 753 4.5635 2 4 4 2
753 754 4.5419 2 5 1 2
754 755 4.437 2 6 1 2
755 756 4.4284 2 7 3 2
756 757 4.4048 2 7 3 2
757 758 4.3976 2 5 1 2
758 759 4.347 2 5 1 2
759 760 4.3077 2 5 1 2
760 761 4.2684 2 4 4 2
761 762 4.2373 2 5 1 2
762 763 4.2144 2 10 1 1
763 764 4.2037 2 6 1 2
764 765 4.1906 2 11 1 1
765 766 4.128 2 6 1 2
766 767 4.0954 2 5 3 2
767 768 4.0436 2 6 1 2
768 769 3.9318 2 4 4 2
769 770 3.8958 2 6 3 2
770 771 3.8598 2 11 1 1
771 772 3.8577 2 6 1 2
772 773 3.804 2 9 1 1
773 774 3.7853 2 4 4 2
774 775 3.7213 2 4 4 2
775 776 3.5885 2 4 4 2
776 777 3.5856 2 6 3 2
777 778 3.5826 2 8 1 1
778 779 3.5465 2 6 3 2
779 780 3.5327 2 5 1 2
780 781 3.4815 2 5 1 2
781 782 3.4803 2 6 3 2
782 783 3.4779 2 4 4 2
783 784 3.4387 2 6 1 2
784 785 3.3895 2 8 1 1
785 786 3.3839 2 8 1 1
786 787 3.3324 2 8 1 1
787 788 3.2799 2 6 1 1
788 789 3.2536 2 4 1 1
789 790 3.2492 2 6 1 1
790 791 3.2383 2 6 1 1
791 792 3.2333 2 8 1 1
792 793 3.2161 2 11 1 1
793 794 3.1991 2 8 1 1
794 795 3.1264 2 5 1 1
795 796 3.1242 2 11 1 1
796 797 3.1201 2 5 1 2
797 798 3.0638 2 4 1 2
798 799 3.0116 2 10 1 1
799 800 2.9792 2 8 1 1
800 801 2.9623 2 6 1 2
801 802 2.9531 2 6 1 1
802 803 2.9504 2 8 1 1
803 804 2.9428 2 5 1 2
804 805 2.8932 2 6 1 1
805 806 2.893 2 5 1 2
806 807 2.8892 2 6 1 1
807 808 2.865 2 6 1 1
808 809 2.8257 2 7 3 1
809 810 2.8067 2 6 1 1
810 811 2.7965 2 8 1 1
811 812 2.7759 2 5 1 2
812 813 2.7649 2 5 1 1
813 814 2.7588 2 5 1 1
814 815 2.7189 2 8 1 1
815 816 2.7134 2 11 1 1
816 817 2.7084 2 6 1 1
817 818 2.7035 2 4 1 1
818 819 2.7023 2 5 3 1
819 820 2.6864 2 6 3 1
820 821 2.6559 2 4 3 1
821 822 2.6494 2 6 1 1
822 823 2.6463 2 8 1 1
823 824 2.6269 2 5 1 1
824 825 2.6265 2 10 1 1
825 826 2.603 2 7 3 1
826 827 2.5842 2 9 1 1
